"pathway","scale_to_500","scale_to_2000","scale_to_4000","scale_to_11165"
"positive regulation of transcription by rna polymerase ii",13.3270320071841,19.032457880959,28.6989097164215,37.6777540737298
"positive regulation of rna metabolic process",12.9568518827619,17.1268193698776,25.5738234190566,32.9485814671361
"positive regulation of macromolecule biosynthetic process",12.1300871022011,17.4129348686711,24.836377714892,30.8640051678469
"negative regulation of transcription by rna polymerase ii",10.3476590504473,17.2655004933052,23.0470185063557,27.5167372934202
"negative regulation of nucleobase containing compound metabolic process",10.2647717190608,16.0223749857328,21.454931037066,24.8790688629074
"negative regulation of biosynthetic process",9.84393603187026,14.8189453486437,20.1948581098933,22.6950785350737
"negative regulation of rna metabolic process",9.81143484748406,16.0760272970667,20.917007704753,25.8199028474478
"genitalia development",9.15957620007993,5.30112350216812,3.88956097263919,5.62530373408377
"morphogenesis of a branching structure",8.99383201752495,7.32523943842932,8.47947607828225,8.07550208682241
"branching morphogenesis of an epithelial tube",8.9391431850825,6.74001387474646,7.1204496274674,6.79500796933322
"male genitalia development",8.78387705532824,4.57559568438927,3.67434088984004,3.85048803315311
"intracellular estrogen receptor signaling pathway",8.73451527208604,5.12614253777197,4.5925085450629,3.42183382895651
"anterior posterior axis specification",8.04475752000638,4.37989661042831,4.76558818920604,6.47086887734585
"regionalization",8.03239716580004,9.91485059128273,11.2943171536989,13.2699230150915
"pattern specification process",7.97083297196662,9.51759758167551,13.2905624690121,14.9619389672479
"regulation of mirna metabolic process",6.69467591015179,9.64258470014017,17.0340881707925,20.7325064670122
"cell fate commitment",6.62540951890511,7.71773263774362,12.5166429693497,16.2801903555553
"regulation of mirna transcription",6.61813047682261,10.026519136361,17.0436418059753,21.2849598619962
"positive regulation of mirna transcription",6.60787190101735,11.1185736536812,13.9291883586227,18.3670175517222
"positive regulation of mirna metabolic process",6.47932497458686,9.88670049194886,14.0813954015463,18.3143216221862
"mirna metabolic process",6.3316497006755,10.4368320116936,15.8275412564455,18.2255574263692
"metanephric glomerular mesangium development",5.45521508810575,11.774178049732,8.94175138522246,4.65462121108533
"dna templated transcription termination",,10.7791669742097,9.10642713121914,2.98933125131255
