"pathway","scale_to_500","scale_to_2000","scale_to_4000","scale_to_11165"
"rna pol ii region sequence specific dna binding",15.3344221780426,23.4847783626314,34.1206308301279,47.6264534949872
"dna binding transcrp. activator activity",14.8043242569197,22.6254664369839,30.4293588425355,43.691016381996
"sequence specific dna binding",14.6900107107506,23.1672566521773,33.1926779879382,42.2734639462988
"cis reg region sequence specific dna binding",14.4317813808963,24.7525345164291,34.9077940308828,43.6022641404642
"transcrp. reg activity",13.8870321452011,21.1945838105383,33.3076361489552,36.5373047962818
"nuclear receptor activity",7.86347272384121,12.7227090728767,20.1381756763407,23.4897737376218
"rna pol ii general transcrp. initiation factor binding",7.14796450057065,5.57916860302523,5.21895683306509,3.20219984874461
"transcrp. coactivator binding",7.10515353378266,5.55016440594046,8.5161238945913,12.2936703613433
"nuclear steroid receptor activity",6.96175353856306,5.73399303573645,8.19842357948368,14.0297807833454
"rna pol ii specific dna binding TF binding",6.74123778969082,9.5939171821601,17.5031899911218,16.2115780772462
"basal transcrp. machinery binding",6.68044314362058,5.77821468578124,3.25414139642489,2.13087908025364
"double stranded methylated dna binding",6.67866451439995,10.9869829180393,9.94880749550397,7.92330758530572
"chromatin binding",6.63529675974088,11.1773260178323,16.5105484228981,15.8511726470122
"transcrp. coreg binding",6.61146814301369,6.75738116471007,13.3791763430709,15.2196376942488
"TF binding",6.28364406819883,11.3808431033419,19.3549042215718,19.3197574851343
"dna binding TF binding",6.0748276657263,10.9837582967129,17.9363427800437,18.5376954814999
"c2h2 zinc finger domain binding",6.02543755369854,6.34246668423937,3.60724995105741,4.67067874053136
"dna binding transcrp. repressor activity",4.6060254387451,13.7650155043459,18.6855678079264,24.948518621299
"nuclear receptor binding",3.24716793603472,3.26092240652173,10.1550349198196,7.06872057173446
"promoter specific chromatin binding",2.62786117180473,7.17579739251712,9.79443225032537,8.72139016484754
"e box binding",1.51728637088817,6.44705443344263,10.920245479146,16.3775409732128
"chromatin dna binding",0.415624224552449,6.83145176383124,7.60111640135017,9.86578789651379
"histone deacetylase binding",-0.637420646869537,5.36868939014695,10.3713570322454,11.0102659857102
"aryl hydrocarbon receptor binding",,9.93256000182778,6.13137586574828,2.72476508545315
"bhlh TF binding",,9.56080979756201,8.52864088373754,9.93351494508307
"mrf binding",,7.49922409622292,6.17634590318726,5.40590603096704
