"pathway","phnx_z_score","mean_path_score","sd_path_score","phnx_p_val"
"positive regulation of transcription by rna polymerase ii",13.3270320071841,0.133364787853672,0.0280609380119493,0
"positive regulation of rna metabolic process",12.9568518827619,0.152643649496138,0.0279708245114619,0
"positive regulation of macromolecule biosynthetic process",12.1300871022011,0.154079231048061,0.0299544106594152,0
"negative regulation of transcription by rna polymerase ii",10.3476590504473,0.0923956811282551,0.0232558804294741,0
"negative regulation of nucleobase containing compound metabolic process",10.2647717190608,0.117936070082418,0.0248122636291539,0
"negative regulation of biosynthetic process",9.84393603187026,0.121731293571356,0.0256984921460941,0
"negative regulation of rna metabolic process",9.81143484748406,0.11586499874352,0.0259347462824684,0
"genitalia development",9.15957620007993,0.0149784476010827,0.0090082910071756,0
"morphogenesis of a branching structure",8.99383201752495,0.0428619401748292,0.015885144978589,0
"branching morphogenesis of an epithelial tube",8.9391431850825,0.035858024051704,0.0146382787851465,0
"male genitalia development",8.78387705532824,0.00771591004135553,0.00686167200867748,0
"intracellular estrogen receptor signaling pathway",8.73451527208604,0.00772758825711207,0.00650866971884444,0
"anterior posterior axis specification",8.04475752000638,0.00517857348523103,0.00544251924788353,0
"regionalization",8.03239716580004,0.0590230692300829,0.0185265413067188,0
"pattern specification process",7.97083297196662,0.0648090918195667,0.0210543258053053,0
"prostate gland growth",7.90812621360242,0.00492881999403471,0.00501218290209559,0
"glomerular mesangium development",7.86506102718056,0.00226128278573742,0.0031686576189937,0
"mammary gland morphogenesis",7.78977127653562,0.0192890937318443,0.0100682851950157,0
"embryonic axis specification",7.69118424996692,0.00508722815953661,0.00570459522837118,0
"blastoderm segmentation",7.66574790392235,0.00545728592970408,0.00567524992316237,0
"mammary gland duct morphogenesis",7.66487300186176,0.0199310902063735,0.010148588544478,0
"mammary gland epithelium development",7.58501840559214,0.0227334233400761,0.0115335097836029,0
"thorax and anterior abdomen determination",7.57933323060533,0.00243280767108081,0.00326547994516742,0
"ncrna metabolic process",7.55831838975043,0.0177284611228388,0.00988126994670185,0
"steroid hormone mediated signaling pathway",7.48563236501295,0.0198101530733984,0.0107076369186721,0
