"pathway","phnx_z_score","mean_path_score","sd_path_score","phnx_p_val"
"cis regulatory region sequence specific dna binding",34.9077940308828,0.218205323105765,0.0163659255999664,0
"rna polymerase ii transcription regulatory region sequence specific dna binding",34.1206308301279,0.242669183744696,0.0170481074287441,0
"transcription regulator activity",33.3076361489552,0.29432334851479,0.0175558128253549,0
"sequence specific dna binding",33.1926779879382,0.278020852293692,0.0177464075775378,0
"dna binding transcription activator activity",30.4293588425355,0.108629481030035,0.0118476629369498,0
"nuclear receptor activity",20.1381756763407,0.0177687070193278,0.00450009777064986,0
"transcription factor binding",19.3549042215718,0.0958886625373743,0.0105591230772385,0
"dna binding transcription repressor activity",18.6855678079264,0.0584708125071556,0.00827080182300734,0
"dna binding transcription factor binding",17.9363427800437,0.0749312464087925,0.00953102861810241,0
"rna polymerase ii specific dna binding transcription factor binding",17.5031899911218,0.0549937951783722,0.00823804323604408,0
"chromatin binding",16.5105484228981,0.0905168983673975,0.01034804582496,0
"transcription coregulator binding",13.3791763430709,0.0238502575838065,0.00575489565207154,0
"e box binding",10.920245479146,0.00924404317627341,0.00355973159468817,0
"histone deacetylase binding",10.3713570322454,0.0191687270277362,0.00489475732270556,0
"nuclear receptor binding",10.1550349198196,0.023009617528056,0.00525466612717293,0
"double stranded methylated dna binding",9.94880749550397,0.00205552724398149,0.00162869896667189,0
"promoter specific chromatin binding",9.79443225032537,0.0123627305119844,0.00392086268255794,0
"histone acetyltransferase binding",9.65584825177654,0.00386743123241467,0.00212071832684491,0
"bhlh transcription factor binding",8.52864088373754,0.00800304508609406,0.00324495655566885,0
"transcription coactivator binding",8.5161238945913,0.00954999348628189,0.0036137026476974,0
"nuclear retinoid x receptor binding",8.45257247054461,0.00466592868899897,0.00240510838276969,0
"nuclear steroid receptor activity",8.19842357948368,0.00542252617375561,0.0027801849951684,0
"chromatin dna binding",7.60111640135017,0.0161798538244293,0.00486249831520147,0
"nuclear retinoic acid receptor binding",6.63275776883398,0.00584494864384396,0.00300669584568376,0
"zinc ion binding",6.48884805130136,0.135381878009928,0.0128490777423412,0
"dna binding bending",6.389702028162,0.00589935653914654,0.00258692428806059,0
"transcription corepressor binding",6.25043843402569,0.00687712729055784,0.00309063498288865,0
"mrf binding",6.17634590318726,0.00209126381713577,0.00171725983171302,0.002
"aryl hydrocarbon receptor binding",6.13137586574828,0.00133709701510816,0.00128413888933671,0
"nuclear glucocorticoid receptor binding",5.97353532312424,0.00405353882072086,0.00228905819248208,0
"beta catenin binding",5.89560758275612,0.017067503680184,0.00472285731679962,0
"mdm2 mdm4 family protein binding",5.70181526463185,0.00195906917198226,0.00158483493745819,0
"core promoter sequence specific dna binding",5.47314771771512,0.00578365846475208,0.00273071553359479,0
"nfat protein binding",5.31558719171537,0.00209305337606929,0.00169936097349438,0
"rna polymerase ii general transcription initiation factor binding",5.21895683306509,0.00142515948629443,0.00142114694922107,0.006
"regulatory rna binding",5.00289415903571,0.00410346034601753,0.00239698181179275,0
"rna polymerase ii core promoter sequence specific dna binding",4.9942699972732,0.00396001450328913,0.00221659930478644,0.002
"tfiib class transcription factor binding",4.67913445487436,0.000709057455889706,0.000926518887342187,0.01
"protein sequestering activity",4.63117108590415,0.000749243469996145,0.00120370573520176,0.014
"protein dimerization activity",4.61680802506905,0.170437696189096,0.0142131807885831,0
"camp response element binding",4.60890578876772,0.002786142474597,0.00186391626897443,0.002
"transition metal ion binding",4.33673672683068,0.184478903429237,0.015206057862975,0
"mirna binding",4.17386179109764,0.00343677024999124,0.00226465342603999,0.004
"general transcription initiation factor binding",3.93113503008584,0.00456620896845561,0.00244031265346603,0.002
"stat family protein binding",3.93076098158581,0.00279891165959998,0.00205687495886181,0.01
"thyroid hormone binding",3.9038577080002,0.0026791439718836,0.00187983897381216,0.006
"protein heterodimerization activity",3.6453528402844,0.0458461146770169,0.00755244988224306,0.002
"c2h2 zinc finger domain binding",3.60724995105741,0.00195970360602587,0.00154170757467749,0.018
"ccr5 chemokine receptor binding",3.51784634487174,0.00189550195762422,0.00146767400158248,0.02
"peroxisome proliferator activated receptor binding",3.41420510856705,0.00206993381668872,0.00177163114672521,0.014
"retinoic acid responsive element binding",3.30215108940182,0.00150040212688327,0.00156069561669899,0.024
"nitric oxide synthase regulator activity",3.27825035017886,0.00123685261297214,0.00128300167963857,0.032
"basal transcription machinery binding",3.25414139642489,0.00329105740628802,0.00208082079090806,0.016
"pre mrna intronic binding",3.20066195651549,0.000713163953376352,0.00108043025773022,0.032
"protein phosphatase 2a binding",3.14132641919597,0.00343037901508797,0.00227395974516284,0.016
"mrna regulatory element binding translation repressor activity",2.87259198594561,0.00250552204625637,0.00182022548286133,0.03
"hmg box domain binding",2.87084507534658,0.00537647560956248,0.00251201774786091,0.016
"molecular condensate scaffold activity",2.75261677592993,0.00064040130036301,0.000932125648076316,0.024
"nuclear estrogen receptor binding",2.73715277111316,0.00597352254692305,0.00290380301020613,0.018
"r smad binding",2.73432684839248,0.00558474876494074,0.00298566304461632,0.018
"minor groove of adenine thymine rich dna binding",2.67715690247992,0.00136304378153727,0.00129295680553653,0.038
"tbp class protein binding",2.66776311057143,0.00413175719539504,0.00233527112725957,0.026
"structural constituent of chromatin",2.63055654806971,0.00139761757347151,0.00146424329368999,0.044
"molecular sequestering activity",2.61784990661164,0.00268908847408602,0.0018442592627944,0.032
"molecular function activator activity",2.59358961928407,0.00741098740501184,0.00331916441191169,0.026
"mitogen activated protein kinase p38 binding",2.54564134147502,0.000610991170273337,0.000816643595551127,0.032
"nuclear receptor coactivator activity",2.54080965000154,0.00722009446386073,0.00293106666331492,0.022
"sirna binding",2.4640315076233,0.000704631495202193,0.00101522829297875,0.04
"steroid binding",2.42041570254262,0.0243924051494905,0.00570154429177934,0.012
"co smad binding",2.22299375133482,0.00267045496338687,0.00186138202960735,0.044
"dna secondary structure binding",2.13819599398363,0.00769978452316718,0.00339887084490845,0.04
"kinase binding",2.12686472363533,0.150888991676708,0.0140344052637939,0.012
"lbd domain binding",2.09869649492501,0.00332268414318605,0.00199284261466262,0.042
"methyl cpg binding",2.08251123415231,0.00266191625875217,0.00180497570572041,0.054
"protein domain specific binding",2.04500810206606,0.121250863892048,0.0126232247109323,0.034
