child,parent,child_descriptor,parent_descriptor
R-HSA-1059683,R-HSA-168256,Interleukin-6 signaling,Immune System
R-HSA-109704,R-HSA-162582,PI3K Cascade,Signal Transduction
R-HSA-110056,R-HSA-162582,MAPK3 (ERK1) activation,Signal Transduction
R-HSA-110312,R-HSA-73894,Translesion synthesis by REV1,DNA Repair
R-HSA-110314,R-HSA-73894,Recognition of DNA damage by PCNA-containing replication complex,DNA Repair
R-HSA-110320,R-HSA-73894,Translesion Synthesis by POLH,DNA Repair
R-HSA-110328,R-HSA-73894,Recognition and association of DNA glycosylase with site containing an affected pyrimidine,DNA Repair
R-HSA-110329,R-HSA-73894,Cleavage of the damaged pyrimidine ,DNA Repair
R-HSA-110330,R-HSA-73894,Recognition and association of DNA glycosylase with site containing an affected purine,DNA Repair
R-HSA-110331,R-HSA-73894,Cleavage of the damaged purine,DNA Repair
R-HSA-110357,R-HSA-73894,Displacement of DNA glycosylase by APEX1,DNA Repair
R-HSA-110362,R-HSA-73894,POLB-Dependent Long Patch Base Excision Repair,DNA Repair
R-HSA-110373,R-HSA-73894,Resolution of AP sites via the multiple-nucleotide patch replacement pathway,DNA Repair
R-HSA-110381,R-HSA-73894,Resolution of AP sites via the single-nucleotide replacement pathway,DNA Repair
R-HSA-111367,R-HSA-8953854,SLBP independent Processing of Histone Pre-mRNAs,Metabolism of RNA
R-HSA-111446,R-HSA-5357801,Activation of BIM and translocation to mitochondria ,Programmed Cell Death
R-HSA-111447,R-HSA-5357801,Activation of BAD and translocation to mitochondria ,Programmed Cell Death
R-HSA-111448,R-HSA-5357801,Activation of NOXA and translocation to mitochondria,Programmed Cell Death
R-HSA-111452,R-HSA-5357801,Activation and oligomerization of BAK protein,Programmed Cell Death
R-HSA-111453,R-HSA-5357801,BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,Programmed Cell Death
R-HSA-111457,R-HSA-5357801,Release of apoptotic factors from the mitochondria,Programmed Cell Death
R-HSA-111458,R-HSA-5357801,Formation of apoptosome,Programmed Cell Death
R-HSA-111459,R-HSA-5357801,Activation of caspases through apoptosome-mediated cleavage,Programmed Cell Death
R-HSA-111463,R-HSA-5357801,SMAC (DIABLO) binds to IAPs ,Programmed Cell Death
R-HSA-111464,R-HSA-5357801,SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes ,Programmed Cell Death
R-HSA-111465,R-HSA-5357801,Apoptotic cleavage of cellular proteins,Programmed Cell Death
R-HSA-111469,R-HSA-5357801,"SMAC, XIAP-regulated apoptotic response",Programmed Cell Death
R-HSA-111471,R-HSA-5357801,Apoptotic factor-mediated response,Programmed Cell Death
R-HSA-111885,R-HSA-162582,Opioid Signalling,Signal Transduction
R-HSA-111931,R-HSA-162582,PKA-mediated phosphorylation of CREB,Signal Transduction
R-HSA-111932,R-HSA-162582,CaMK IV-mediated phosphorylation of CREB,Signal Transduction
R-HSA-111933,R-HSA-162582,Calmodulin induced events,Signal Transduction
R-HSA-111957,R-HSA-162582,Cam-PDE 1 activation,Signal Transduction
R-HSA-111995,R-HSA-162582,phospho-PLA2 pathway,Signal Transduction
R-HSA-111997,R-HSA-162582,CaM pathway,Signal Transduction
R-HSA-112043,R-HSA-162582,PLC beta mediated events,Signal Transduction
R-HSA-112122,R-HSA-73894,ALKBH2 mediated reversal of alkylation damage,DNA Repair
R-HSA-112126,R-HSA-73894,ALKBH3 mediated reversal of alkylation damage,DNA Repair
R-HSA-112303,R-HSA-112316,Electric Transmission Across Gap Junctions,Neuronal System
R-HSA-112308,R-HSA-112316,Presynaptic depolarization and calcium channel opening,Neuronal System
R-HSA-112310,R-HSA-112316,Neurotransmitter release cycle,Neuronal System
R-HSA-112311,R-HSA-112316,Neurotransmitter clearance,Neuronal System
R-HSA-112314,R-HSA-112316,Neurotransmitter receptors and postsynaptic signal transmission,Neuronal System
R-HSA-112382,R-HSA-74160,Formation of RNA Pol II elongation complex ,Gene expression (Transcription)
