pathway,phnx_z_score,mean_path_score,sd_path_score,phnx_p_val
nuclear receptor transcription pathway,10.95571123,0.007343508,0.002211868,0
aryl hydrocarbon receptor signalling,9.454103211,0.00056792,0.00062831,0
negative regulation of activity of tfap2 ap 2 family transcription factors,9.117199686,0.000512763,0.000534043,0
estrogen dependent gene expression,8.143974243,0.010983729,0.002935736,0.002
sumoylation of intracellular receptors,8.055114156,0.003379181,0.001574956,0
rna polymerase ii transcription,8.014038066,0.074372114,0.006750077,0
runx2 regulates chondrocyte maturation,7.832785959,0.001125191,0.00083472,0
sumoylation of transcription factors,7.791169366,0.001680067,0.001110206,0
alk mutants bind tkis,7.194257277,0.000503313,0.000497783,0.002
sumoylation,7.046058036,0.013129806,0.002922819,0
runx2 regulates bone development,6.849670476,0.003387874,0.001506684,0
xenobiotics,6.515532938,0.001126841,0.000919635,0
gli proteins bind promoters of hh responsive genes to promote transcription,6.377668635,0.000535377,0.000523685,0.006
yap1 and wwtr1 taz stimulated gene expression,6.142424138,0.001763816,0.001103279,0
regulation of beta cell development,5.980521465,0.002247556,0.001231941,0
runx3 regulates cdkn1a transcription,5.775853786,0.000563869,0.000616711,0.006
transcriptional regulation by the ap 2 tfap2 family of transcription factors,5.609311797,0.0063273,0.002191834,0
transcriptional regulation by runx2,5.590124871,0.009587332,0.002536291,0
transcriptional regulation of granulopoiesis,5.555658088,0.003346792,0.001413883,0
runx1 regulates estrogen receptor mediated transcription,5.518479837,0.000585512,0.000706115,0.006
ngf stimulated transcription,5.48434862,0.007406884,0.002240438,0
runx1 regulates transcription of genes involved in wnt signaling,5.428875002,0.000577079,0.000719322,0.01
regulation of pten gene transcription,5.366669351,0.001143565,0.00092438,0.008
regulation of runx2 expression and activity,5.002291122,0.003890023,0.001630635,0.002
deactivation of the beta catenin transactivating complex,4.925421487,0.001689027,0.001104114,0.004
activation of the tfap2 ap 2 family of transcription factors,4.880063712,0.001175099,0.00100918,0.008
regulation of gene expression in endocrine committed neurog3 progenitor cells,4.87149016,0.001158147,0.000928931,0.01
runx2 regulates osteoblast differentiation,4.825933095,0.002873938,0.001441993,0
binding of tcf lef ctnnb1 to target gene promoters,4.784375916,0.001080757,0.000776988,0.006
nuclear events kinase and transcription factor activation,4.724007823,0.008004201,0.002531515,0
tfap2 ap 2 family regulates transcription of growth factors and their receptors,4.708287351,0.003970298,0.001659906,0.002
endogenous sterols,4.539759754,0.002256411,0.001256073,0.002
circadian clock,4.50331318,0.0061671,0.002037743,0.002
transcriptional regulation of testis differentiation,4.317326359,0.00289441,0.001490691,0.002
runx1 regulates transcription of genes involved in differentiation of myeloid cells,4.249962141,0.000610735,0.000747625,0.014
transcriptional regulation by runx3,3.884180635,0.005175529,0.001993485,0.01
regulation of lipid metabolism by pparalpha,3.856326627,0.007463446,0.002352266,0.002
runx3 regulates wnt signaling,3.836223892,0.001588276,0.000977518,0.01
signaling by ntrks,3.758720281,0.011693851,0.00273882,0.002
bmal1 clock npas2 activates circadian gene expression,3.746990119,0.003444314,0.00149038,0.004
formation of the beta catenin tcf transactivating complex,3.680908353,0.001185882,0.000981355,0.016
pten regulation,3.671682759,0.002816808,0.001435518,0.008
repression of wnt target genes,3.66393779,0.001180355,0.000987408,0.016
tfap2a acts as a transcriptional repressor during retinoic acid induced cell differentiation,3.580695218,0.000596333,0.000687148,0.014
pou5f1 oct4 sox2 nanog activate genes related to proliferation,3.573016375,0.002360609,0.00136836,0.018
transcriptional regulation by runx1,3.402953923,0.009707135,0.002916109,0.01
transcriptional regulation of pluripotent stem cells,3.308853349,0.002839136,0.001473728,0.02
notch4 intracellular domain regulates transcription,3.258649588,0.000560742,0.00060359,0.02
developmental biology,3.212592865,0.085598091,0.007276125,0.004
regulation of gene expression in late stage branching morphogenesis pancreatic bud precursor cells,3.130607139,0.000537552,0.000546299,0.016
runx1 regulates transcription of genes involved in differentiation of hscs,3.120812984,0.001567958,0.000890372,0.022
degradation of beta catenin by the destruction complex,3.102321744,0.001682162,0.001087775,0.026
germ layer formation at gastrulation,3.086156255,0.002250253,0.001194798,0.018
activated pkn1 stimulates transcription of ar androgen receptor regulated genes klk2 and klk3,2.981821738,0.00057987,0.000694104,0.026
interferon alpha beta signaling,2.968165726,0.002929762,0.001484643,0.028
esr mediated signaling,2.850051165,0.018584109,0.003618394,0.016
activation of the ap 1 family of transcription factors,2.729593161,0.000530763,0.000555828,0.022
rora activates gene expression,2.725912203,0.001084553,0.000881026,0.03
transcriptional regulation of white adipocyte differentiation,2.599184132,0.006936313,0.002216431,0.014
runx2 regulates genes involved in cell migration,2.590061579,0.001722955,0.001064443,0.036
activation of anterior hox genes in hindbrain development during early embryogenesis,2.544751178,0.004478789,0.001726331,0.03
hsp90 chaperone cycle for steroid hormone receptors shr in the presence of ligand,2.447448441,0.004504525,0.001889881,0.024
nuclear signaling by erbb4,2.436126797,0.003939291,0.00162865,0.032
pou5f1 oct4 sox2 nanog repress genes related to differentiation,2.433603692,0.001637019,0.000979707,0.032
downregulation of smad2 3 smad4 transcriptional activity,2.414375514,0.000538345,0.000504047,0.028
regulation of expression of slits and robos,2.350856724,0.003895732,0.001529814,0.04
regulation of gene expression in beta cells,2.342229768,0.000523773,0.000495343,0.034
cytochrome p450 arranged by substrate type,2.321125252,0.007315122,0.002143557,0.032
regulation of gene expression in early pancreatic precursor cells,2.316729233,0.000593035,0.000714267,0.03
signaling by alk in cancer,2.270662165,0.003948802,0.001610078,0.046
signaling by nuclear receptors,2.208017259,0.029804079,0.004363503,0.022
polo like kinase mediated events,2.167910781,0.00401763,0.001802481,0.05
transcriptional activity of smad2 smad3 smad4 heterotrimer,2.040034056,0.000553392,0.000589163,0.044
foxo mediated transcription of oxidative stress metabolic and neuronal genes,2.027136245,0.001640395,0.00105533,0.05
transcription of e2f targets under negative control by p107 rbl1 and p130 rbl2 in complex with hdac1,1.993406376,0.001757888,0.001158165,0.06
physiological factors,1.961924779,0.003956897,0.001638391,0.052
ripk1 mediated regulated necrosis,1.925730871,0.001101738,0.000883762,0.056
ovarian tumor domain proteases,1.924669509,0.002895173,0.001500456,0.062
creb3 factors activate genes,1.895605487,0.000580444,0.000678086,0.042
deubiquitination,1.881187667,0.012841591,0.002727826,0.044
shc mediated cascade fgfr3,1.852387123,0.001127497,0.000838387,0.044
signaling by mst1,1.830421041,0.001060461,0.000796877,0.042
activation of gene expression by srebf srebp,1.827236049,0.002656917,0.001249047,0.048
fgfr3b ligand binding and activation,1.819353269,0.001098788,0.00086939,0.042
hedgehog on state,1.797874023,0.002879848,0.001334631,0.07
tp53 regulates transcription of genes involved in g1 cell cycle arrest,1.776948328,0.00285733,0.001338173,0.066
cholesterol biosynthesis,1.753590704,0.002279621,0.001324271,0.06
signaling by notch4,1.750945591,0.001648556,0.00099126,0.066
nr1h2 nr1h3 regulate gene expression linked to lipogenesis,1.729312406,0.001701193,0.001171556,0.066
notch3 intracellular domain regulates transcription,1.716398056,0.002205125,0.001160478,0.066
regulation of pten localization,1.689244907,0.000566517,0.000576885,0.058
signaling by notch1 pest domain mutants in cancer,1.687996325,0.001210683,0.000980031,0.054
oxidative stress induced senescence,1.667675795,0.003305822,0.00139458,0.066
ikk complex recruitment mediated by rip1,1.660005102,0.001110466,0.000864426,0.06
the canonical retinoid cycle in rods twilight vision,1.652360121,0.002343382,0.001349687,0.076
foxo mediated transcription,1.639567048,0.00393089,0.001516873,0.078
notch1 intracellular domain regulates transcription,1.613550364,0.001741337,0.001171265,0.064
intracellular signaling by second messengers,1.606695605,0.023599938,0.003929408,0.072
synthesis secretion and inactivation of glucose dependent insulinotropic polypeptide gip,1.601071497,0.001693359,0.001087341,0.072
tnfr1 induced nfkappab signaling pathway,1.596800824,0.001121776,0.000891559,0.064
dcc mediated attractive signaling,1.581319503,0.000568324,0.000654091,0.044
nod1 2 signaling pathway,1.575082174,0.001136767,0.000894335,0.064
ticam1 rip1 mediated ikk complex recruitment,1.570451699,0.001122411,0.000906113,0.068
regulation of tp53 activity through acetylation,1.539451639,0.000572314,0.000629251,0.052
smad2 smad3 smad4 heterotrimer regulates transcription,1.535773515,0.000608999,0.000746402,0.048
tcf dependent signaling in response to wnt,1.508483021,0.0079308,0.002486381,0.086
regulated necrosis,1.485281638,0.001716191,0.001139831,0.086
rap1 signalling,1.468385327,0.001130386,0.000863121,0.07
rho gtpases activate pkns,1.457110328,0.001762315,0.001250005,0.064
regulation of cholesterol biosynthesis by srebp srebf,1.432491804,0.002821167,0.00147858,0.082
extrinsic pathway of fibrin clot formation,1.422394643,0.000575896,0.000618433,0.058
interleukin 4 and interleukin 13 signaling,1.422270106,0.014892552,0.003282436,0.11
regulation of tnfr1 signaling,1.393403603,0.001216906,0.000953429,0.076
signaling by receptor tyrosine kinases,1.384216686,0.05651125,0.005941173,0.088
interferon signaling,1.375730367,0.012405503,0.002757676,0.108
intraflagellar transport,1.371583221,0.002646505,0.001159932,0.08
phase i functionalization of compounds,1.357448641,0.012607869,0.002778752,0.086
signaling by notch1,1.34805844,0.002303101,0.001243549,0.098
transcriptional activation of mitochondrial biogenesis,1.324542641,0.001679028,0.001014136,0.088
fgfr3 ligand binding and activation,1.320763697,0.001777372,0.001264044,0.092
extra nuclear estrogen signaling,1.295943495,0.009502038,0.002506585,0.1
g0 and early g1,1.251898857,0.005248841,0.002185668,0.124
myd88 independent tlr4 cascade,1.247865486,0.004512156,0.001709515,0.126
uptake of dietary cobalamins into enterocytes,1.230571492,0.000549371,0.000583744,0.072
signaling by robo receptors,1.220103854,0.00729066,0.002116195,0.12
creatine metabolism,1.2142583,0.00234188,0.001422732,0.106
ca2 pathway,1.211549261,0.005148736,0.002045033,0.11
generation of second messenger molecules,1.203397088,0.003279282,0.001486869,0.102
mapk targets nuclear events mediated by map kinases,1.201669554,0.001165339,0.000958233,0.084
diseases of signal transduction by growth factor receptors and second messengers,1.17579008,0.028636452,0.00407774,0.13
ketone body metabolism,1.160416783,0.000521361,0.000502972,0.074
nr1h2 nr1h3 regulate gene expression linked to triglyceride lipolysis in adipose,1.126127934,0.000578568,0.000645659,0.076
atf6 atf6 alpha activates chaperones,1.116876931,0.000561177,0.00063138,0.066
mapk6 mapk4 signaling,1.116483973,0.004494619,0.001722864,0.134
tnf signaling,1.082365149,0.001729115,0.001069047,0.118
atf6 atf6 alpha activates chaperone genes,1.081013925,0.000560928,0.000652556,0.082
cellular senescence,1.072100111,0.007318183,0.002189051,0.126
disassembly of the destruction complex and recruitment of axin to the membrane,1.063226191,0.000549487,0.000474342,0.096
egr2 and sox10 mediated initiation of schwann cell myelination,1.022315051,0.001752213,0.001126389,0.108
pi3k akt signaling in cancer,1.013739414,0.014074941,0.003007627,0.138
ub specific processing proteases,0.996689439,0.009702602,0.002460407,0.164
signaling by fgfr in disease,0.992442033,0.004029203,0.00167541,0.144
hedgehog off state,0.988540702,0.005103944,0.001855462,0.124
signaling by erbb4,0.973453556,0.006955304,0.002415885,0.15
synthesis of ketone bodies,0.965415442,0.000547701,0.000577282,0.064
estrogen biosynthesis,0.937471734,0.001181834,0.001008648,0.086
tp53 regulates transcription of dna repair genes,0.933014723,0.00164212,0.001113982,0.092
insulin receptor signalling cascade,0.922874053,0.004973035,0.001681027,0.16
constitutive signaling by aberrant pi3k in cancer,0.919896831,0.013610041,0.003244803,0.176
mitochondrial biogenesis,0.901183414,0.002246257,0.001261243,0.14
signaling by fgfr3,0.900093488,0.00284559,0.001321653,0.152
foxo mediated transcription of cell cycle genes,0.892459015,0.001146531,0.00099161,0.086
pi 3k cascade fgfr3,0.88668284,0.00223102,0.001170453,0.124
the role of nef in hiv 1 replication and disease pathogenesis,0.87093937,0.001093776,0.000835485,0.102
pd 1 signaling,0.870877105,0.003870384,0.001571862,0.158
frs mediated fgfr3 signaling,0.858728441,0.002257898,0.001177255,0.144
mismatch repair,0.848412638,0.000585235,0.000683167,0.074
signaling by notch3,0.847215288,0.003931335,0.001639607,0.164
incretin synthesis secretion and inactivation,0.840226993,0.003454004,0.001614642,0.164
irs mediated signalling,0.839760814,0.005031536,0.001777738,0.188
unfolded protein response upr,0.804364124,0.004936024,0.001780141,0.18
senescence associated secretory phenotype sasp,0.795258612,0.00450747,0.001768183,0.176
signaling by fgfr,0.791916942,0.005757555,0.002061222,0.178
tnf receptor superfamily tnfsf members mediating non canonical nf kb pathway,0.790767807,0.002191118,0.001206412,0.142
retinoid cycle disease events,0.77724369,0.000550547,0.000654138,0.09
nr1h2 and nr1h3 mediated signaling,0.770381381,0.005023499,0.001793854,0.196
cyclin a b1 b2 associated events during g2 m transition,0.769432726,0.004480359,0.001724039,0.186
apoptotic factor mediated response,0.759342564,0.000612075,0.000744407,0.098
regulation of mecp2 expression and activity,0.74880276,0.002301423,0.001288653,0.156
interleukin 17 signaling,0.747787325,0.002833344,0.00132052,0.184
nicotinate metabolism,0.738518059,0.002399196,0.001289499,0.18
transcriptional regulation by ventx,0.727042667,0.002922587,0.001536922,0.16
post translational protein modification,0.719077899,0.087542582,0.007411967,0.216
beta catenin independent wnt signaling,0.718479646,0.00806682,0.002503444,0.198
downstream signaling of activated fgfr3,0.716167813,0.002280847,0.001379557,0.152
nef and signal transduction,0.705936928,0.001169568,0.000923404,0.138
flt3 signaling through src family kinases,0.694548405,0.000571772,0.000652208,0.096
metabolism of angiotensinogen to angiotensins,0.688318078,0.004579706,0.001839681,0.192
negative regulation of fgfr3 signaling,0.67568718,0.002351844,0.001357132,0.168
nef mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,0.673833785,0.000580152,0.000659822,0.106
transcriptional regulation by mecp2,0.658202442,0.006526986,0.00233851,0.202
negative regulation of the pi3k akt network,0.651941007,0.015427167,0.003386385,0.234
cd28 dependent vav1 pathway,0.642097466,0.000597847,0.000664876,0.108
thyroxine biosynthesis,0.630805887,0.001672808,0.00108624,0.148
shc mediated cascade fgfr4,0.620999821,0.001108563,0.000847052,0.126
signaling by wnt,0.61252388,0.014117959,0.002977962,0.244
wnt mediated activation of dvl,0.609667309,0.000600887,0.000742917,0.102
rhob gtpase cycle,0.605261914,0.004458449,0.001793263,0.206
mrna decay by 3 to 5 exoribonuclease,0.598404723,0.000564002,0.000537993,0.152
nef mediated cd4 down regulation,0.586111413,0.000602241,0.000720889,0.092
phospholipase c mediated cascade fgfr2,0.585886606,0.001070616,0.000790004,0.14
death receptor signalling,0.582936834,0.005605939,0.001920326,0.238
dissolution of fibrin clot,0.577556754,0.001725869,0.001111119,0.182
deadenylation dependent mrna decay,0.577502126,0.000559656,0.00056499,0.12
transport of rcbl within the body,0.569511627,0.001147222,0.000982184,0.122
tyrosine catabolism,0.565728643,0.001141313,0.000971404,0.118
runx3 regulates immune response and cell migration,0.560098689,0.001213957,0.001011235,0.148
cobalamin cbl vitamin b12 transport and metabolism,0.557183759,0.001172777,0.00095805,0.14
regulation of kit signaling,0.55605194,0.001098834,0.000867565,0.126
phospholipase c mediated cascade fgfr4,0.550355816,0.001149502,0.000881393,0.142
transcriptional regulation by tp53,0.546843569,0.018266355,0.003463674,0.26
signaling by insulin receptor,0.519027328,0.006393733,0.002183576,0.24
endosomal vacuolar pathway,0.516524311,0.000570367,0.000671687,0.11
runx3 regulates p14 arf,0.514074202,0.001210625,0.000985863,0.146
ksrp khsrp binds and destabilizes mrna,0.508269651,0.000567371,0.000626771,0.118
visual phototransduction,0.496757434,0.01186898,0.002868377,0.274
cd28 co stimulation,0.491200407,0.001112055,0.000899172,0.156
alpha oxidation of phytanate,0.490074499,0.000583266,0.000624557,0.136
formation of fibrin clot clotting cascade,0.489058589,0.003546815,0.001570885,0.224
tp53 regulates transcription of cell cycle genes,0.485661043,0.00532681,0.001970792,0.254
tristetraprolin ttp zfp36 binds and destabilizes mrna,0.480512633,0.000588507,0.00061899,0.134
signaling by hedgehog,0.473555789,0.007424807,0.002341317,0.252
nuclear events stimulated by alk signaling in cancer,0.472776982,0.000573301,0.000635644,0.152
srp dependent cotranslational protein targeting to membrane,0.462595705,0.000578274,0.000706024,0.108
cellular responses to stimuli,0.460967066,0.037077485,0.004952517,0.322
sphingolipid de novo biosynthesis,0.454874226,0.001167944,0.000929209,0.166
signaling by kit in disease,0.450597824,0.001157532,0.000940336,0.162
dna damage telomere stress induced senescence,0.444832596,0.002294366,0.00128339,0.192
factors involved in megakaryocyte development and platelet production,0.442537337,0.011758816,0.002858105,0.242
butyrate response factor 1 brf1 binds and destabilizes mrna,0.436763698,0.000594601,0.00066704,0.126
costimulation by the cd28 family,0.432557472,0.00566842,0.001974286,0.24
toll like receptor tlr1 tlr2 cascade,0.432400553,0.007869386,0.002216636,0.272
hdr through mmej alt nhej,0.43171248,0.001137208,0.000911862,0.146
toll like receptor cascades,0.424813468,0.012626982,0.002864624,0.31
cyclin d associated events in g1,0.421028444,0.004537525,0.001734044,0.244
fgfr2c ligand binding and activation,0.418749402,0.001140267,0.00093899,0.152
purine catabolism,0.417186134,0.001179626,0.000943168,0.172
regulation of runx1 expression and activity,0.415463004,0.00280305,0.001401962,0.22
phosphate bond hydrolysis by nudt proteins,0.415110284,0.001175248,0.000958431,0.154
fanconi anemia pathway,0.409636794,0.000500486,0.000491442,0.168
rhoc gtpase cycle,0.407742388,0.003479535,0.001584349,0.236
nucleotide binding domain leucine rich repeat containing receptor nlr signaling pathways,0.406410441,0.003390612,0.001395142,0.248
reduction of cytosolic ca levels,0.39947275,0.000556541,0.00051454,0.172
signaling by notch,0.395878111,0.007988557,0.002399914,0.284
sumoylation of dna damage response and repair proteins,0.393816456,0.003398105,0.001526579,0.226
peptide hormone metabolism,0.393517496,0.012555317,0.003111893,0.272
aberrant regulation of mitotic g1 s transition in cancer due to rb1 defects,0.392373016,0.002782895,0.001321342,0.23
regulation of tlr by endogenous ligand,0.387156586,0.003424252,0.001547664,0.254
sodium calcium exchangers,0.3842565,0.001184778,0.000976075,0.178
metabolism of amine derived hormones,0.378909008,0.00287718,0.001528294,0.228
eukaryotic translation elongation,0.373368991,0.001104575,0.000818524,0.172
iron uptake and transport,0.366747708,0.003861192,0.001529937,0.268
cd28 dependent pi3k akt signaling,0.364630483,0.001187946,0.00100316,0.158
interleukin 2 signaling,0.363015575,0.001177316,0.00092268,0.184
toll like receptor 9 tlr9 cascade,0.36257612,0.004976056,0.001817874,0.252
biosynthesis of maresins,0.36169503,0.000572221,0.000623161,0.152
fceri mediated mapk activation,0.359598341,0.004586124,0.001790447,0.274
eukaryotic translation initiation,0.357598347,0.001106158,0.000846341,0.192
ldl clearance,0.351600789,0.000536278,0.000582912,0.146
neurofascin interactions,0.348073951,0.001081862,0.000829193,0.174
fgfr2 alternative splicing,0.344747392,0.001065699,0.000804145,0.178
homology directed repair,0.333154162,0.005015202,0.001871968,0.268
regulation of runx3 expression and activity,0.330673917,0.001141334,0.000891012,0.18
runx1 regulates expression of components of tight junctions,0.330669933,0.000587618,0.000613814,0.164
olfactory signaling pathway,0.327837421,0.002262457,0.001254135,0.246
synthesis of pyrophosphates in the cytosol,0.318813401,0.001678461,0.00111462,0.194
association of tric cct with target proteins during biosynthesis,0.314766896,0.001648107,0.001006498,0.222
cytokine signaling in immune system,0.313750603,0.056465965,0.005910163,0.358
pregnenolone biosynthesis,0.306502499,0.000573901,0.000647874,0.146
trna modification in the nucleus and cytosol,0.300661886,0.00115398,0.000984171,0.168
defects of contact activation system cas and kallikrein kinin system kks,0.29600889,0.000530713,0.000500367,0.182
ctla4 inhibitory signaling,0.287441255,0.00167295,0.001028381,0.228
pre notch processing in golgi,0.287056359,0.000559293,0.000706454,0.122
hats acetylate histones,0.28074867,0.000579847,0.000761821,0.128
synthesis of udp n acetyl glucosamine,0.273664452,0.00114471,0.000864978,0.202
synthesis secretion and inactivation of glucagon like peptide 1 glp 1,0.272080569,0.002912603,0.001410303,0.266
meiotic synapsis,0.269455967,0.001658134,0.001029762,0.222
negative regulation of tcf dependent signaling by dvl interacting proteins,0.266199809,0.001163563,0.000923353,0.228
sensory perception,0.263804727,0.019697351,0.003551769,0.35
defective factor ix causes hemophilia b,0.258775695,0.000529861,0.000575653,0.166
estrogen dependent nuclear events downstream of esr membrane signaling,0.256602106,0.003964763,0.001574078,0.304
rrna processing,0.254831527,0.002167623,0.001127744,0.264
signaling by fgfr4 in disease,0.251299831,0.001144399,0.000885889,0.198
synthesis of epoxy eet and dihydroxyeicosatrienoic acids dhet,0.250114435,0.000604834,0.000770775,0.15
netrin 1 signaling,0.250015084,0.002177839,0.001211208,0.242
chylomicron clearance,0.244083469,0.000573391,0.000687629,0.156
mitochondrial iron sulfur cluster biogenesis,0.226967627,0.000614088,0.000697847,0.176
inactivation of csf3 g csf signaling,0.226867092,0.00055731,0.000624295,0.178
nucleotide catabolism,0.225232261,0.002234815,0.001137594,0.264
signaling by type 1 insulin like growth factor 1 receptor igf1r,0.223327516,0.00744864,0.002363413,0.312
degradation of dvl,0.202202809,0.001133511,0.000884961,0.224
rho gtpases activate wasps and waves,0.196970495,0.000555732,0.000603135,0.198
deposition of new cenpa containing nucleosomes at the centromere,0.196747718,0.004084506,0.001788618,0.302
signaling by fgfr2 iiia tm,0.190582612,0.001685616,0.001120063,0.242
mitotic g2 g2 m phases,0.18553237,0.013156928,0.003017319,0.382
hdr through single strand annealing ssa,0.17979198,0.00167207,0.001094444,0.228
nonsense mediated decay nmd,0.179622004,0.00113192,0.000932279,0.198
defective f9 activation,0.179609787,0.000560416,0.000659259,0.178
intrinsic pathway of fibrin clot formation,0.179297202,0.001756356,0.001093874,0.26
rhoh gtpase cycle,0.171222193,0.001174533,0.001012318,0.214
irak4 deficiency tlr2 4,0.165202715,0.00287088,0.001388691,0.284
type i hemidesmosome assembly,0.162484993,0.003951961,0.001552443,0.308
oncogene induced senescence,0.159493625,0.001703317,0.001035429,0.27
g1 s dna damage checkpoints,0.157481157,0.005025678,0.001728043,0.328
mitotic g1 phase and g1 s transition,0.151504975,0.016394613,0.003515965,0.388
processing of dna double strand break ends,0.151501412,0.002809235,0.001300959,0.304
p75ntr negatively regulates cell cycle via sc1,0.150305549,0.000528651,0.000482246,0.218
pre notch expression and processing,0.1466915,0.001160156,0.000968189,0.214
resolution of d loop structures through synthesis dependent strand annealing sdsa,0.143793366,0.002742698,0.001351242,0.286
resolution of d loop structures,0.143458023,0.002755365,0.001266107,0.31
chromosome maintenance,0.142647508,0.005647396,0.001845806,0.332
defective ext2 causes exostoses 2,0.138495368,0.001603542,0.000993606,0.27
interferon gamma signaling,0.136545574,0.007834203,0.002191573,0.386
notch2 intracellular domain regulates transcription,0.134379418,0.000531049,0.000554299,0.208
synthesis of pips at the early endosome membrane,0.134091771,0.000589711,0.000639461,0.224
platelet calcium homeostasis,0.123331395,0.0022355,0.001199341,0.292
amino acids regulate mtorc1,0.123275824,0.000579713,0.000609078,0.236
fgfr2 ligand binding and activation,0.122554926,0.001676422,0.001125839,0.256
dopamine clearance from the synaptic cleft,0.116921163,0.000550684,0.00060471,0.224
fgfr2 mutant receptor activation,0.116431561,0.00176211,0.0011764,0.254
rhobtb gtpase cycle,0.114938329,0.001758116,0.001089684,0.27
sema4d mediated inhibition of cell attachment and migration,0.112572794,0.001199671,0.001066152,0.222
ephb mediated forward signaling,0.110873728,0.001654605,0.001081085,0.254
metabolism of steroids,0.110809622,0.01489547,0.003431539,0.412
triglyceride biosynthesis,0.108683182,0.000572684,0.000648915,0.218
transcription of e2f targets under negative control by dream complex,0.108171653,0.00173239,0.001218105,0.264
rnd2 gtpase cycle,0.107541504,0.002858665,0.001532289,0.288
ret signaling,0.102825605,0.003971092,0.001612011,0.328
transport of organic anions,0.098988748,0.001642168,0.000916483,0.306
nade modulates death signalling,0.097428431,0.000544881,0.000577385,0.24
ire1alpha activates chaperones,0.088169274,0.001723354,0.001170295,0.252
regulated proteolysis of p75ntr,0.088043103,0.000552554,0.00055179,0.252
ncam1 interactions,0.087801692,0.007870716,0.002380993,0.374
signaling by rnf43 mutants,0.086417781,0.000538,0.000574111,0.248
inositol phosphate metabolism,0.086101522,0.005651145,0.001960232,0.348
reelin signalling pathway,0.079340316,0.000582309,0.0006841,0.222
diseases of immune system,0.078677776,0.003468889,0.001642756,0.33
programmed cell death,0.077437456,0.008036645,0.002324802,0.388
fibronectin matrix formation,0.076477078,0.001205381,0.00094281,0.278
downstream signaling of activated fgfr4,0.074507009,0.002143654,0.001063715,0.334
signaling by notch2,0.073083566,0.000557752,0.000653826,0.206
tight junction interactions,0.072335204,0.002829666,0.001456629,0.3
p75ntr recruits signalling complexes,0.058956184,0.001053301,0.000774732,0.27
fgfr2b ligand binding and activation,0.055950756,0.001750932,0.001134336,0.274
scavenging by class b receptors,0.055877117,0.001791466,0.001231077,0.29
dna repair,0.055480212,0.008970502,0.002394202,0.38
glyoxylate metabolism and glycine degradation,0.053984964,0.002768984,0.001293807,0.346
tcr signaling,0.052033362,0.007820069,0.002244058,0.402
diseases of dna repair,0.049445713,0.002865563,0.001444713,0.32
interleukin 1 processing,0.048235935,0.00053275,0.000542494,0.252
peroxisomal protein import,0.045321024,0.004037272,0.001719249,0.358
rhobtb2 gtpase cycle,0.044802901,0.001156263,0.000915191,0.268
striated muscle contraction,0.04311655,0.003447586,0.001605877,0.346
calcitonin like ligand receptors,0.04107538,0.001130457,0.000908542,0.264
nucleotide like purinergic receptors,0.038681669,0.002315282,0.00140492,0.31
phosphate bond hydrolysis by ntpdase proteins,0.034576313,0.00058828,0.000724895,0.25
stabilization of p53,0.030493004,0.001681706,0.001114468,0.306
adrenaline noradrenaline inhibits insulin secretion,0.03011618,0.003328812,0.00159159,0.33
integration of provirus,0.022852024,0.000547856,0.000531175,0.27
cellular response to starvation,0.020376044,0.00224905,0.001176469,0.326
rsk activation,0.020096314,0.000518731,0.00050927,0.288
interleukin 36 pathway,0.017931162,0.000561452,0.000601662,0.26
runx1 and foxp3 control the development of regulatory t lymphocytes tregs,0.016593807,0.001117707,0.000834688,0.288
p75ntr regulates axonogenesis,0.012739285,0.000592517,0.000676522,0.294
metabolism of steroid hormones,0.011384172,0.005689707,0.001990838,0.388
miro gtpase cycle,0.011231457,0.000545349,0.000543645,0.27
transferrin endocytosis and recycling,0.009686307,0.001765881,0.001221251,0.27
