"pathway","phnx_z_score","mean_path_score","sd_path_score","phnx_p_val"
"sumoylation of intracellular receptors",8.00075595207112,0.00762121380597819,0.0067052700716174,0
"nuclear receptor transcription pathway",7.80995565821859,0.0128202046182705,0.0094847932152108,0
"sumoylation",7.6960936381177,0.014924216799438,0.00940849787144698,0
"estrogen dependent gene expression",6.92650437673549,0.0297099399194703,0.0135038264837482,0
"rna polymerase ii transcription",6.81579300728999,0.0911519702016958,0.0220975448733238,0
"transcriptional regulation by runx2",6.75130893788581,0.00944948979315814,0.00655117778989516,0
"transcriptional regulation by the ap 2 tfap2 family of transcription factors",6.71176831462008,0.0142617867076187,0.00874028596378665,0
"sumoylation of transcription factors",5.96735799489822,0.00236983516981127,0.00367788682289705,0.004
"runx1 regulates transcription of genes involved in wnt signaling",5.81093212928406,0.00246483692963375,0.00397101279438479,0.004
"esr mediated signaling",5.79977513399967,0.0410013263782021,0.0154457589842345,0
"runx1 regulates estrogen receptor mediated transcription",5.69166087496227,0.00258964837598614,0.00403229828525025,0.008
"activated pkn1 stimulates transcription of ar androgen receptor regulated genes klk2 and klk3",5.65286125836871,0.00214110797306057,0.00298690583093422,0.008
"transcriptional regulation of testis differentiation",5.61840144858995,0.00445140479144175,0.00428885822304647,0
"regulation of runx2 expression and activity",5.45912459602095,0.00468515138392104,0.00533211170638564,0.004
"nuclear signaling by erbb4",5.37096313021363,0.00751089190557832,0.00679141315273351,0.002
"tfap2 ap 2 family regulates transcription of growth factors and their receptors",5.21249677301527,0.0100513572387281,0.00817023108764558,0.002
"negative regulation of activity of tfap2 ap 2 family transcription factors",5.02413362851867,0.0026278833016404,0.00431700683317838,0.006
"hsp90 chaperone cycle for steroid hormone receptors shr in the presence of ligand",4.81924881279753,0.00704014485457446,0.00612384181705365,0.002
"runx2 regulates osteoblast differentiation",4.70864193602857,0.00222367636626586,0.00356833161007986,0.012
"signaling by erbb4",4.68518221692617,0.00959598523343448,0.00759730124885715,0.002
"runx2 regulates bone development",4.67114512536829,0.00241979982558405,0.00355498961301291,0.02
"transcriptional regulation by runx1",4.37388810737479,0.012620522421028,0.00860029204898195,0
"signaling by nuclear receptors",4.37375259882845,0.0576550992868724,0.0189441810074587,0.002
"ngf stimulated transcription",4.23811858523018,0.00674539593356894,0.00589250154776756,0.004
"activation of the tfap2 ap 2 family of transcription factors",4.18548210152409,0.00500975519925123,0.0053548373952294,0.01
"deubiquitination",4.15523919150516,0.0191012544012046,0.0106022445194545,0.002
"tfap2a acts as a transcriptional repressor during retinoic acid induced cell differentiation",4.11695948429215,0.00237580446875654,0.00359606828853719,0.012
"activation of the ap 1 family of transcription factors",3.98231975622599,0.00225432644289685,0.00348597794739063,0.022
"foxo mediated transcription of cell cycle genes",3.968447277082,0.0023321886107442,0.00350342874536173,0.022
"ovarian tumor domain proteases",3.83413630113604,0.00673680061136838,0.00579118832428833,0.014
"tp53 regulates transcription of dna repair genes",3.51480853671425,0.00239225190848811,0.00391041311084308,0.032
"polo like kinase mediated events",3.45103340691722,0.0130240115339984,0.00893428908290384,0.008
"extra nuclear estrogen signaling",3.41846994835397,0.0168174666847917,0.00945553255551935,0.014
"runx1 regulates transcription of genes involved in differentiation of hscs",3.27324639310816,0.00479864619270666,0.00517020214344095,0.024
"mitotic g2 g2 m phases",2.76529002856412,0.0175409670795198,0.0101410080723142,0.014
"nuclear events kinase and transcription factor activation",2.66165144540349,0.0104886810663156,0.0081305780989908,0.024
"post translational protein modification",2.59926416214852,0.0865498803191585,0.0211465001379495,0.012
"rho gtpases activate pkns",2.58777311542182,0.0052273127149092,0.00580871923940684,0.05
"egr2 and sox10 mediated initiation of schwann cell myelination",2.57847777160653,0.00244508365966612,0.00370630622484671,0.038
"regulation of mecp2 expression and activity",2.56672319730321,0.00475433013803558,0.00488964121275144,0.052
"foxo mediated transcription",2.53565556940841,0.00474137200543191,0.00504203798249755,0.048
"transcriptional regulation by tp53",2.47627501056793,0.0167806369608734,0.0100429891933896,0.036
"signaling by ntrks",2.39044763002866,0.0124295124944183,0.00854290059313747,0.04
"tp53 regulates transcription of genes involved in g1 cell cycle arrest",2.30551615694394,0.00740114572958555,0.00640923581073993,0.042
"mapk targets nuclear events mediated by map kinases",2.2981289548741,0.00480890995060327,0.00510790531395515,0.068
"interleukin 17 signaling",2.27421407024594,0.00478892844007351,0.00517040447736469,0.064
"negative regulation of the pi3k akt network",2.25358718068877,0.0144231220987276,0.00887551283545218,0.044
