gene,h_cent
MYC,10215.5
ESR1,9975
CTCF,9919
NR2F1,9834.833333
MAX,9809.5
ZNF143,9780.5
ERG,9765.5
E2F1,9471.5
TFAP2C,9249
FOXA1,9237
MNT,9177.833333
ELF1,8968.166667
MAZ,8871.333333
AR,8763
SPIB,8603.666667
GABPA,8457.166667
KDM5B,8271.5
ARNT2,8248.666667
TFAP2A,8186
NCOA3,8156.333333
GATA3,8118.833333
NR2F2,7742.833333
KLF6,7716.666667
AHR,7688
NCOA2,7406.166667
SRF,7240.5
EGR1,7235.833333
CEBPB,7109.166667
ELK1,7090.666667
NRF1,6962
RFX5,6841.833333
MBD3,6597.333333
KLF4,6492.5
CUX1,6306
E2F4,6296.333333
ESRRA,6247.833333
REST,6203.833333
JUND,6165.333333
FOSL2,6062
ZBTB11,5947.666667
FOXM1,5928.833333
RELA,5826
NCOA1,5757.166667
SREBF1,5731
ZKSCAN1,5650.666667
HSF1,5636.666667
TCF7L2,5609.666667
TCF12,5602.333333
NR3C1,5499.333333
ZNF217,5398
TEAD4,5381.666667
NR5A2,5361.833333
ESR2,5337.333333
JUN,5308.25
CEBPG,5240.583333
HOXC11,5118.666667
FOXK2,4451
MAFK,3846.916667
ZNF592,72
TP53,26
MBD2,8
AAAS,0
AACS,0
AAK1,0
AAMDC,0
AARSD1 /// PTGES3L /// PTGES3L-AARSD1,0
AASDHPPT,0
ABCA1,0
ABCA12,0
ABCA3,0
ABCA4,0
ABCA5,0
ABCA6,0
ABCA8,0
ABCB1,0
ABCB6,0
ABCB7,0
ABCB8,0
ABCC10,0
ABCC3,0
ABCC5,0
ABCD2,0
ABCD4,0
ABCE1,0
ABCF3,0
ABCG2,0
ABHD10,0
ABHD11,0
ABHD17B,0
ABHD2,0
ABHD3,0
ABHD4,0
ABHD5,0
ABI1,0
ABL1,0
ABL2,0
ABT1,0
ACAA2,0
ACACB,0
ACAD8,0
ACADM,0
ACADVL,0
ACAN,0
ACAP1,0
