"x","name"
"YAL001C","TFC3"
"YAL002W","VPS8"
"YAL004W","YAL004W"
"YAL005C","SSA1"
"YAL007C","ERP2"
"YAL010C","MDM10"
"YAL011W","SWC3"
"YAL012W","CYS3"
"YAL014C","SYN8"
"YAL015C","NTG1"
"YAL016W","TPD3"
"YAL020C","ATS1"
"YAL021C","CCR4"
"YAL022C","FUN26"
"YAL023C","PMT2"
"YAL024C","LTE1"
"YAL025C","MAK16"
"YAL026C","DRS2"
"YAL029C","MYO4"
"YAL034C","FUN19"
"YAL036C","RBG1"
"YAL037W","YAL037W"
"YAL038W","CDC19"
"YAL039C","CYC3"
"YAL040C","CLN3"
"YAL043C","PTA1"
"YAL043C-A","None"
"YAL044C","GCV3"
"YAL045C","YAL045C"
"YAL046C","BOL3"
"YAL048C","GEM1"
"YAL049C","AIM2"
"YAL051W","OAF1"
"YAL054C","ACS1"
"YAL059W","ECM1"
"YAL060W","BDH1"
"YAL061W","BDH2"
"YAR008W","SEN34"
"YAR010C","YAR010C"
"YAR015W","ADE1"
"YAR018C","KIN3"
"YAR019C","CDC15"
"YAR020C","PAU7"
"YAR028W","YAR028W"
"YAR031W","PRM9"
"YAR033W","MST28"
"YAR035W","YAT1"
"YAR042W","SWH1"
"YAR044W","None"
"YAR050W","FLO1"
"YAR075W","YAR075W"
"YBL001C","ECM15"
"YBL003C","HTA2"
"YBL005W","PDR3"
"YBL005W-B","YBL005W-B"
"YBL007C","SLA1"
"YBL008W","HIR1"
"YBL010C","YBL010C"
"YBL011W","SCT1"
"YBL014C","RRN6"
"YBL015W","ACH1"
"YBL018C","POP8"
"YBL019W","APN2"
"YBL021C","HAP3"
"YBL022C","PIM1"
"YBL023C","MCM2"
"YBL025W","RRN10"
"YBL026W","LSM2"
"YBL029W","YBL029W"
"YBL030C","PET9"
"YBL033C","RIB1"
"YBL034C","STU1"
"YBL036C","YBL036C"
"YBL037W","APL3"
"YBL039C","URA7"
"YBL040C","ERD2"
"YBL043W","ECM13"
"YBL045C","COR1"
"YBL047C","EDE1"
"YBL049W","MOH1"
"YBL053W","YBL053W"
"YBL055C","YBL055C"
"YBL057C","PTH2"
"YBL059W","YBL059W"
"YBL061C","SKT5"
"YBL062W","YBL062W"
"YBL066C","SEF1"
"YBL067C","UBP13"
"YBL070C","YBL070C"
"YBL071C","YBL071C"
"YBL072C","RPS8A"
"YBL074C","AAR2"
"YBL076C","ILS1"
"YBL080C","PET112"
"YBL083C","YBL083C"
"YBL084C","CDC27"
"YBL086C","YBL086C"
"YBL087C","RPL23A"
"YBL088C","TEL1"
"YBL089W","AVT5"
"YBL091C","MAP2"
"YBL091C-A","SCS22"
"YBL093C","ROX3"
"YBL095W","MRX3"
"YBL097W","BRN1"
"YBL099W","ATP1"
"YBL100C","YBL100C"
"YBL101W-A","None"
"YBL103C","RTG3"
"YBL104C","SEA4"
"YBL106C","SRO77"
"YBL107C","MIX23"
"YBL107W-A","YBL107W-A"
"YBR001C","NTH2"
"YBR003W","COQ1"
"YBR008C","FLR1"
"YBR010W","HHT1"
"YBR011C","IPP1"
"YBR012W-B","YBR012W-B"
"YBR016W","YBR016W"
"YBR020W","GAL1"
"YBR021W","FUR4"
"YBR022W","POA1"
"YBR025C","OLA1"
"YBR027C","YBR027C"
"YBR028C","YPK3"
"YBR033W","EDS1"
"YBR034C","HMT1"
"YBR035C","PDX3"
"YBR036C","CSG2"
"YBR038W","CHS2"
"YBR040W","FIG1"
"YBR042C","CST26"
"YBR043C","QDR3"
"YBR044C","TCM62"
"YBR045C","GIP1"
"YBR047W","FMP23"
"YBR048W","RPS11B"
"YBR053C","YBR053C"
"YBR054W","YRO2"
"YBR055C","PRP6"
"YBR056W","YBR056W"
"YBR057C","MUM2"
"YBR058C","UBP14"
"YBR059C","AKL1"
"YBR060C","ORC2"
"YBR061C","TRM7"
"YBR063C","YBR063C"
"YBR064W","YBR064W"
"YBR065C","ECM2"
"YBR069C","TAT1"
"YBR071W","YBR071W"
"YBR072W","HSP26"
"YBR073W","RDH54"
"YBR074W","YBR074W"
"YBR076W","ECM8"
"YBR078W","ECM33"
"YBR079C","RPG1"
"YBR080C","SEC18"
"YBR081C","SPT7"
"YBR082C","UBC4"
"YBR083W","TEC1"
"YBR084W","MIS1"
"YBR085W","AAC3"
"YBR087W","RFC5"
"YBR088C","POL30"
"YBR089W","YBR089W"
"YBR091C","TIM12"
"YBR092C","PHO3"
"YBR094W","PBY1"
"YBR096W","YBR096W"
"YBR097W","VPS15"
"YBR099C","YBR099C"
"YBR100W","None"
"YBR103W","SIF2"
"YBR108W","AIM3"
"YBR110W","ALG1"
"YBR113W","YBR113W"
"YBR114W","RAD16"
"YBR115C","LYS2"
"YBR118W","TEF2"
"YBR120C","CBP6"
"YBR121C","GRS1"
"YBR123C","TFC1"
"YBR125C","PTC4"
"YBR126C","TPS1"
"YBR127C","VMA2"
"YBR129C","OPY1"
"YBR131W","CCZ1"
"YBR134W","YBR134W"
"YBR135W","CKS1"
"YBR136W","MEC1"
"YBR137W","YBR137W"
"YBR139W","YBR139W"
"YBR140C","IRA1"
"YBR142W","MAK5"
"YBR143C","SUP45"
"YBR145W","ADH5"
"YBR146W","MRPS9"
"YBR147W","RTC2"
"YBR148W","YSW1"
"YBR151W","APD1"
"YBR152W","SPP381"
"YBR153W","RIB7"
"YBR155W","CNS1"
"YBR158W","AMN1"
"YBR159W","IFA38"
"YBR160W","CDC28"
"YBR161W","CSH1"
"YBR162W-A","YSY6"
"YBR163W","EXO5"
"YBR165W","UBS1"
"YBR166C","TYR1"
"YBR168W","PEX32"
"YBR169C","SSE2"
"YBR171W","SEC66"
"YBR172C","SMY2"
"YBR175W","SWD3"
"YBR176W","ECM31"
"YBR180W","DTR1"
"YBR181C","RPS6B"
"YBR184W","YBR184W"
"YBR186W","PCH2"
"YBR187W","GDT1"
"YBR189W","RPS9B"
