dataset,model,noise,noise_level_perc,prior_lambda,true_val_MSE_1,true_val_MSE_2,true_val_MSE_3,true_val_MSE_4,true_val_MSE_5,true_val_R^2,sparse_out_deg_cor,opt_avg_degree,opt_TN,opt_TP,causal_AUC
SIM350,phoenix_noprior,0,0,1,8.77E-04,9.74E-04,9.86E-04,9.56E-04,8.22E-04,0.98,0.80,10,0.975,0.836,0.942
SIM350,phoenix_noprior,0.025,5,1,8.13E-04,1.01E-03,1.02E-03,1.05E-03,1.15E-03,0.98,0.80,15,0.960,0.795,0.899
SIM350,phoenix_noprior,0.05,10,1,1.76E-03,1.78E-03,1.77E-03,2.40E-03,1.74E-03,0.97,0.84,23,0.945,0.718,0.858
SIM350,phoenix_noprior,0.1,20,1,2.26E-03,2.34E-03,2.69E-03,2.39E-03,2.70E-03,0.95,0.39,45,0.953,0.627,0.766
SIM350,phoenix_noprior,0.2,0,1,3.28E-03,3.24E-03,3.19E-03,3.04E-03,3.00E-03,0.98,0.69,43,0.876,0.422,0.606
SIM350,phoenix_noprior,0.4,5,1,4.37E-03,3.61E-03,3.70E-03,3.58E-03,4.13E-03,0.98,0.36,23,0.935,0.516,0.552
SIM350,phoenix_noprior,0.5,10,1,4.49E-03,4.59E-03,4.25E-03,4.76E-03,4.59E-03,0.97,0.14,66,0.858,0.547,0.541
SIM350,phoenix,0,0,0.99,6.11E-04,7.05E-04,1.03E-03,1.08E-03,1.13E-03,0.98,0.96,3,0.996,0.985,0.987
SIM350,phoenix,0.025,5,0.99,1.12E-03,1.07E-03,1.20E-03,8.85E-04,1.22E-03,0.975,0.96,4,0.920,0.956,0.980
SIM350,phoenix,0.05,10,0.99,1.42E-03,1.02E-03,1.36E-03,1.56E-03,1.41E-03,0.956,0.96,8,0.988,0.960,0.979
SIM350,phoenix,0.1,20,0.99,2.67E-03,2.72E-03,2.57E-03,3.40E-03,2.66E-03,0.94,0.96,11,0.972,0.900,0.943
SIM350,phoenix,0.2,5,0.99,3.31E-03,3.94E-03,3.42E-03,4.03E-03,4.00E-03,0.975,0.96,39,0.856,0.560,0.761
SIM350,phoenix,0.4,10,0.99,4.46E-03,4.54E-03,5.01E-03,4.81E-03,5.94E-03,0.956,0.63,16,0.887,0.530,0.538
