id,timepoint,cell_type
cell_1,0,regular
cell_2,1,regular
cell_3,2,regular
cell_4,3,regular
cell_5,4,regular
cell_6,5,regular
cell_7,6,regular
cell_8,7,regular
cell_9,8,regular
cell_10,9,regular
cell_11,0,regular
cell_12,1,regular
cell_13,2,regular
cell_14,3,regular
cell_15,4,regular
cell_16,5,regular
cell_17,6,regular
cell_18,7,regular
cell_19,8,regular
cell_20,9,regular
cell_21,0,regular
cell_22,1,regular
cell_23,2,regular
cell_24,3,regular
cell_25,4,regular
cell_26,5,regular
cell_27,6,regular
cell_28,7,regular
cell_29,8,regular
cell_30,9,regular
cell_31,0,regular
cell_32,1,regular
cell_33,2,regular
cell_34,3,regular
cell_35,4,regular
cell_36,5,regular
cell_37,6,regular
cell_38,7,regular
cell_39,8,regular
cell_40,9,regular
cell_41,0,regular
cell_42,1,regular
cell_43,2,regular
cell_44,3,regular
cell_45,4,regular
cell_46,5,regular
cell_47,6,regular
cell_48,7,regular
cell_49,8,regular
cell_50,9,regular
cell_51,0,regular
cell_52,1,regular
cell_53,2,regular
cell_54,3,regular
cell_55,4,regular
cell_56,5,regular
cell_57,6,regular
cell_58,7,regular
cell_59,8,regular
cell_60,9,regular
cell_61,0,regular
cell_62,1,regular
cell_63,2,regular
cell_64,3,regular
cell_65,4,regular
cell_66,5,regular
cell_67,6,regular
cell_68,7,regular
cell_69,8,regular
cell_70,9,regular
cell_71,0,regular
cell_72,1,regular
cell_73,2,regular
cell_74,3,regular
cell_75,4,regular
cell_76,5,regular
cell_77,6,regular
cell_78,7,regular
cell_79,8,regular
cell_80,9,regular
cell_81,0,regular
cell_82,1,regular
cell_83,2,regular
cell_84,3,regular
cell_85,4,regular
cell_86,5,regular
cell_87,6,regular
cell_88,7,regular
cell_89,8,regular
cell_90,9,regular
cell_91,0,regular
cell_92,1,regular
cell_93,2,regular
cell_94,3,regular
cell_95,4,regular
cell_96,5,regular
cell_97,6,regular
cell_98,7,regular
cell_99,8,regular
cell_100,9,regular
cell_101,0,regular
cell_102,1,regular
cell_103,2,regular
cell_104,3,regular
cell_105,4,regular
cell_106,5,regular
cell_107,6,regular
cell_108,7,regular
cell_109,8,regular
cell_110,9,regular
cell_111,0,regular
cell_112,1,regular
cell_113,2,regular
cell_114,3,regular
cell_115,4,regular
cell_116,5,regular
cell_117,6,regular
cell_118,7,regular
cell_119,8,regular
cell_120,9,regular
cell_121,0,regular
cell_122,1,regular
cell_123,2,regular
cell_124,3,regular
cell_125,4,regular
cell_126,5,regular
cell_127,6,regular
cell_128,7,regular
cell_129,8,regular
cell_130,9,regular
cell_131,0,regular
cell_132,1,regular
cell_133,2,regular
cell_134,3,regular
cell_135,4,regular
cell_136,5,regular
cell_137,6,regular
cell_138,7,regular
cell_139,8,regular
cell_140,9,regular
cell_141,0,regular
cell_142,1,regular
cell_143,2,regular
cell_144,3,regular
cell_145,4,regular
cell_146,5,regular
cell_147,6,regular
cell_148,7,regular
cell_149,8,regular
cell_150,9,regular
cell_151,0,regular
cell_152,1,regular
cell_153,2,regular
cell_154,3,regular
cell_155,4,regular
cell_156,5,regular
cell_157,6,regular
cell_158,7,regular
cell_159,8,regular
cell_160,9,regular
cell_161,0,regular
cell_162,1,regular
cell_163,2,regular
cell_164,3,regular
cell_165,4,regular
cell_166,5,regular
cell_167,6,regular
cell_168,7,regular
cell_169,8,regular
cell_170,9,regular
cell_171,0,regular
cell_172,1,regular
cell_173,2,regular
cell_174,3,regular
cell_175,4,regular
cell_176,5,regular
cell_177,6,regular
cell_178,7,regular
cell_179,8,regular
cell_180,9,regular
cell_181,0,regular
cell_182,1,regular
cell_183,2,regular
cell_184,3,regular
cell_185,4,regular
cell_186,5,regular
cell_187,6,regular
cell_188,7,regular
cell_189,8,regular
cell_190,9,regular
cell_191,0,regular
cell_192,1,regular
cell_193,2,regular
cell_194,3,regular
cell_195,4,regular
cell_196,5,regular
cell_197,6,regular
cell_198,7,regular
cell_199,8,regular
cell_200,9,regular
cell_201,0,regular
cell_202,1,regular
cell_203,2,regular
cell_204,3,regular
cell_205,4,regular
cell_206,5,regular
cell_207,6,regular
cell_208,7,regular
cell_209,8,regular
cell_210,9,regular
cell_211,0,regular
cell_212,1,regular
cell_213,2,regular
cell_214,3,regular
cell_215,4,regular
cell_216,5,regular
cell_217,6,regular
cell_218,7,regular
cell_219,8,regular
cell_220,9,regular
cell_221,0,regular
cell_222,1,regular
cell_223,2,regular
cell_224,3,regular
cell_225,4,regular
cell_226,5,regular
cell_227,6,regular
cell_228,7,regular
cell_229,8,regular
cell_230,9,regular
cell_231,0,regular
cell_232,1,regular
cell_233,2,regular
cell_234,3,regular
cell_235,4,regular
cell_236,5,regular
cell_237,6,regular
cell_238,7,regular
cell_239,8,regular
cell_240,9,regular
cell_241,0,regular
cell_242,1,regular
cell_243,2,regular
cell_244,3,regular
cell_245,4,regular
cell_246,5,regular
cell_247,6,regular
cell_248,7,regular
cell_249,8,regular
cell_250,9,regular
cell_251,0,regular
cell_252,1,regular
cell_253,2,regular
cell_254,3,regular
cell_255,4,regular
cell_256,5,regular
cell_257,6,regular
cell_258,7,regular
cell_259,8,regular
cell_260,9,regular
cell_261,0,regular
cell_262,1,regular
cell_263,2,regular
cell_264,3,regular
cell_265,4,regular
cell_266,5,regular
cell_267,6,regular
cell_268,7,regular
cell_269,8,regular
cell_270,9,regular
cell_271,0,regular
cell_272,1,regular
cell_273,2,regular
cell_274,3,regular
cell_275,4,regular
cell_276,5,regular
cell_277,6,regular
cell_278,7,regular
cell_279,8,regular
cell_280,9,regular
cell_281,0,regular
cell_282,1,regular
cell_283,2,regular
cell_284,3,regular
cell_285,4,regular
cell_286,5,regular
cell_287,6,regular
cell_288,7,regular
cell_289,8,regular
cell_290,9,regular
cell_291,0,regular
cell_292,1,regular
cell_293,2,regular
cell_294,3,regular
cell_295,4,regular
cell_296,5,regular
cell_297,6,regular
cell_298,7,regular
cell_299,8,regular
cell_300,9,regular
cell_301,0,regular
cell_302,1,regular
cell_303,2,regular
cell_304,3,regular
cell_305,4,regular
cell_306,5,regular
cell_307,6,regular
cell_308,7,regular
cell_309,8,regular
cell_310,9,regular
cell_311,0,regular
cell_312,1,regular
cell_313,2,regular
cell_314,3,regular
cell_315,4,regular
cell_316,5,regular
cell_317,6,regular
cell_318,7,regular
cell_319,8,regular
cell_320,9,regular
cell_321,0,regular
cell_322,1,regular
cell_323,2,regular
cell_324,3,regular
cell_325,4,regular
cell_326,5,regular
cell_327,6,regular
cell_328,7,regular
cell_329,8,regular
cell_330,9,regular
cell_331,0,regular
cell_332,1,regular
cell_333,2,regular
cell_334,3,regular
cell_335,4,regular
cell_336,5,regular
cell_337,6,regular
cell_338,7,regular
cell_339,8,regular
cell_340,9,regular
cell_341,0,regular
cell_342,1,regular
cell_343,2,regular
cell_344,3,regular
cell_345,4,regular
cell_346,5,regular
cell_347,6,regular
cell_348,7,regular
cell_349,8,regular
cell_350,9,regular
cell_351,0,regular
cell_352,1,regular
cell_353,2,regular
cell_354,3,regular
cell_355,4,regular
cell_356,5,regular
cell_357,6,regular
cell_358,7,regular
cell_359,8,regular
cell_360,9,regular
cell_361,0,regular
cell_362,1,regular
cell_363,2,regular
cell_364,3,regular
cell_365,4,regular
cell_366,5,regular
cell_367,6,regular
cell_368,7,regular
cell_369,8,regular
cell_370,9,regular
cell_371,0,regular
cell_372,1,regular
cell_373,2,regular
cell_374,3,regular
cell_375,4,regular
cell_376,5,regular
cell_377,6,regular
cell_378,7,regular
cell_379,8,regular
cell_380,9,regular
cell_381,0,regular
cell_382,1,regular
cell_383,2,regular
cell_384,3,regular
cell_385,4,regular
cell_386,5,regular
cell_387,6,regular
cell_388,7,regular
cell_389,8,regular
cell_390,9,regular
cell_391,0,regular
cell_392,1,regular
cell_393,2,regular
cell_394,3,regular
cell_395,4,regular
cell_396,5,regular
cell_397,6,regular
cell_398,7,regular
cell_399,8,regular
cell_400,9,regular
cell_401,0,regular
cell_402,1,regular
cell_403,2,regular
cell_404,3,regular
cell_405,4,regular
cell_406,5,regular
cell_407,6,regular
cell_408,7,regular
cell_409,8,regular
cell_410,9,regular
cell_411,0,regular
cell_412,1,regular
cell_413,2,regular
cell_414,3,regular
cell_415,4,regular
cell_416,5,regular
cell_417,6,regular
cell_418,7,regular
cell_419,8,regular
cell_420,9,regular
cell_421,0,regular
cell_422,1,regular
cell_423,2,regular
cell_424,3,regular
cell_425,4,regular
cell_426,5,regular
cell_427,6,regular
cell_428,7,regular
cell_429,8,regular
cell_430,9,regular
cell_431,0,regular
cell_432,1,regular
cell_433,2,regular
cell_434,3,regular
cell_435,4,regular
cell_436,5,regular
cell_437,6,regular
cell_438,7,regular
cell_439,8,regular
cell_440,9,regular
cell_441,0,regular
cell_442,1,regular
cell_443,2,regular
cell_444,3,regular
cell_445,4,regular
cell_446,5,regular
cell_447,6,regular
cell_448,7,regular
cell_449,8,regular
cell_450,9,regular
cell_451,0,regular
cell_452,1,regular
cell_453,2,regular
cell_454,3,regular
cell_455,4,regular
cell_456,5,regular
cell_457,6,regular
cell_458,7,regular
cell_459,8,regular
cell_460,9,regular
cell_461,0,regular
cell_462,1,regular
cell_463,2,regular
cell_464,3,regular
cell_465,4,regular
cell_466,5,regular
cell_467,6,regular
cell_468,7,regular
cell_469,8,regular
cell_470,9,regular
cell_471,0,regular
cell_472,1,regular
cell_473,2,regular
cell_474,3,regular
cell_475,4,regular
cell_476,5,regular
cell_477,6,regular
cell_478,7,regular
cell_479,8,regular
cell_480,9,regular
cell_481,0,regular
cell_482,1,regular
cell_483,2,regular
cell_484,3,regular
cell_485,4,regular
cell_486,5,regular
cell_487,6,regular
cell_488,7,regular
cell_489,8,regular
cell_490,9,regular
cell_491,0,regular
cell_492,1,regular
cell_493,2,regular
cell_494,3,regular
cell_495,4,regular
cell_496,5,regular
cell_497,6,regular
cell_498,7,regular
cell_499,8,regular
cell_500,9,regular
cell_501,0,regular
cell_502,1,regular
cell_503,2,regular
cell_504,3,regular
cell_505,4,regular
cell_506,5,regular
cell_507,6,regular
cell_508,7,regular
cell_509,8,regular
cell_510,9,regular
cell_511,0,regular
cell_512,1,regular
cell_513,2,regular
cell_514,3,regular
cell_515,4,regular
cell_516,5,regular
cell_517,6,regular
cell_518,7,regular
cell_519,8,regular
cell_520,9,regular
cell_521,0,regular
cell_522,1,regular
cell_523,2,regular
cell_524,3,regular
cell_525,4,regular
cell_526,5,regular
cell_527,6,regular
cell_528,7,regular
cell_529,8,regular
cell_530,9,regular
cell_531,0,regular
cell_532,1,regular
cell_533,2,regular
cell_534,3,regular
cell_535,4,regular
cell_536,5,regular
cell_537,6,regular
cell_538,7,regular
cell_539,8,regular
cell_540,9,regular
cell_541,0,regular
cell_542,1,regular
cell_543,2,regular
cell_544,3,regular
cell_545,4,regular
cell_546,5,regular
cell_547,6,regular
cell_548,7,regular
cell_549,8,regular
cell_550,9,regular
cell_551,0,regular
cell_552,1,regular
cell_553,2,regular
cell_554,3,regular
cell_555,4,regular
cell_556,5,regular
cell_557,6,regular
cell_558,7,regular
cell_559,8,regular
cell_560,9,regular
cell_561,0,regular
cell_562,1,regular
cell_563,2,regular
cell_564,3,regular
cell_565,4,regular
cell_566,5,regular
cell_567,6,regular
cell_568,7,regular
cell_569,8,regular
cell_570,9,regular
cell_571,0,regular
cell_572,1,regular
cell_573,2,regular
cell_574,3,regular
cell_575,4,regular
cell_576,5,regular
cell_577,6,regular
cell_578,7,regular
cell_579,8,regular
cell_580,9,regular
cell_581,0,regular
cell_582,1,regular
cell_583,2,regular
cell_584,3,regular
cell_585,4,regular
cell_586,5,regular
cell_587,6,regular
cell_588,7,regular
cell_589,8,regular
cell_590,9,regular
cell_591,0,regular
cell_592,1,regular
cell_593,2,regular
cell_594,3,regular
cell_595,4,regular
cell_596,5,regular
cell_597,6,regular
cell_598,7,regular
cell_599,8,regular
cell_600,9,regular
cell_601,0,regular
cell_602,1,regular
cell_603,2,regular
cell_604,3,regular
cell_605,4,regular
cell_606,5,regular
cell_607,6,regular
cell_608,7,regular
cell_609,8,regular
cell_610,9,regular
cell_611,0,regular
cell_612,1,regular
cell_613,2,regular
cell_614,3,regular
cell_615,4,regular
cell_616,5,regular
cell_617,6,regular
cell_618,7,regular
cell_619,8,regular
cell_620,9,regular
cell_621,0,regular
cell_622,1,regular
cell_623,2,regular
cell_624,3,regular
cell_625,4,regular
cell_626,5,regular
cell_627,6,regular
cell_628,7,regular
cell_629,8,regular
cell_630,9,regular
cell_631,0,regular
cell_632,1,regular
cell_633,2,regular
cell_634,3,regular
cell_635,4,regular
cell_636,5,regular
cell_637,6,regular
cell_638,7,regular
cell_639,8,regular
cell_640,9,regular
cell_641,0,regular
cell_642,1,regular
cell_643,2,regular
cell_644,3,regular
cell_645,4,regular
cell_646,5,regular
cell_647,6,regular
cell_648,7,regular
cell_649,8,regular
cell_650,9,regular
cell_651,0,regular
cell_652,1,regular
cell_653,2,regular
cell_654,3,regular
cell_655,4,regular
cell_656,5,regular
cell_657,6,regular
cell_658,7,regular
cell_659,8,regular
cell_660,9,regular
cell_661,0,regular
cell_662,1,regular
cell_663,2,regular
cell_664,3,regular
cell_665,4,regular
cell_666,5,regular
cell_667,6,regular
cell_668,7,regular
cell_669,8,regular
cell_670,9,regular
cell_671,0,regular
cell_672,1,regular
cell_673,2,regular
cell_674,3,regular
cell_675,4,regular
cell_676,5,regular
cell_677,6,regular
cell_678,7,regular
cell_679,8,regular
cell_680,9,regular
cell_681,0,regular
cell_682,1,regular
cell_683,2,regular
cell_684,3,regular
cell_685,4,regular
cell_686,5,regular
cell_687,6,regular
cell_688,7,regular
cell_689,8,regular
cell_690,9,regular
cell_691,0,regular
cell_692,1,regular
cell_693,2,regular
cell_694,3,regular
cell_695,4,regular
cell_696,5,regular
cell_697,6,regular
cell_698,7,regular
cell_699,8,regular
cell_700,9,regular
cell_701,0,regular
cell_702,1,regular
cell_703,2,regular
cell_704,3,regular
cell_705,4,regular
cell_706,5,regular
cell_707,6,regular
cell_708,7,regular
cell_709,8,regular
cell_710,9,regular
cell_711,0,regular
cell_712,1,regular
cell_713,2,regular
cell_714,3,regular
cell_715,4,regular
cell_716,5,regular
cell_717,6,regular
cell_718,7,regular
cell_719,8,regular
cell_720,9,regular
cell_721,0,regular
cell_722,1,regular
cell_723,2,regular
cell_724,3,regular
cell_725,4,regular
cell_726,5,regular
cell_727,6,regular
cell_728,7,regular
cell_729,8,regular
cell_730,9,regular
cell_731,0,regular
cell_732,1,regular
cell_733,2,regular
cell_734,3,regular
cell_735,4,regular
cell_736,5,regular
cell_737,6,regular
cell_738,7,regular
cell_739,8,regular
cell_740,9,regular
cell_741,0,regular
cell_742,1,regular
cell_743,2,regular
cell_744,3,regular
cell_745,4,regular
cell_746,5,regular
cell_747,6,regular
cell_748,7,regular
cell_749,8,regular
cell_750,9,regular
cell_751,0,regular
cell_752,1,regular
cell_753,2,regular
cell_754,3,regular
cell_755,4,regular
cell_756,5,regular
cell_757,6,regular
cell_758,7,regular
cell_759,8,regular
cell_760,9,regular
cell_761,0,regular
cell_762,1,regular
cell_763,2,regular
cell_764,3,regular
cell_765,4,regular
cell_766,5,regular
cell_767,6,regular
cell_768,7,regular
cell_769,8,regular
cell_770,9,regular
cell_771,0,regular
cell_772,1,regular
cell_773,2,regular
cell_774,3,regular
cell_775,4,regular
cell_776,5,regular
cell_777,6,regular
cell_778,7,regular
cell_779,8,regular
cell_780,9,regular
cell_781,0,regular
cell_782,1,regular
cell_783,2,regular
cell_784,3,regular
cell_785,4,regular
cell_786,5,regular
cell_787,6,regular
cell_788,7,regular
cell_789,8,regular
cell_790,9,regular
cell_791,0,regular
cell_792,1,regular
cell_793,2,regular
cell_794,3,regular
cell_795,4,regular
cell_796,5,regular
cell_797,6,regular
cell_798,7,regular
cell_799,8,regular
cell_800,9,regular
cell_801,0,regular
cell_802,1,regular
cell_803,2,regular
cell_804,3,regular
cell_805,4,regular
cell_806,5,regular
cell_807,6,regular
cell_808,7,regular
cell_809,8,regular
cell_810,9,regular
cell_811,0,regular
cell_812,1,regular
cell_813,2,regular
cell_814,3,regular
cell_815,4,regular
cell_816,5,regular
cell_817,6,regular
cell_818,7,regular
cell_819,8,regular
cell_820,9,regular
cell_821,0,regular
cell_822,1,regular
cell_823,2,regular
cell_824,3,regular
cell_825,4,regular
cell_826,5,regular
cell_827,6,regular
cell_828,7,regular
cell_829,8,regular
cell_830,9,regular
cell_831,0,regular
cell_832,1,regular
cell_833,2,regular
cell_834,3,regular
cell_835,4,regular
cell_836,5,regular
cell_837,6,regular
cell_838,7,regular
cell_839,8,regular
cell_840,9,regular
cell_841,0,regular
cell_842,1,regular
cell_843,2,regular
