"node","eqn"
"A1_ALPHA2","((1 * fAct(GAL11, 0.408142132172361, 1.79729779304471)) * 1 - 1 * A1_ALPHA2) / 1"
"ABF1","input gene"
"ACE2","input gene"
"ADR1","input gene"
"ALPHA1","((((1 - 1 * fAct(TUP1, 0.478926570154727, 1.48534448833903)) + (1 * fAct(GAL11, 0.424795030523092, 1.49548751271097) * 1 * fAct(SNF2_SWI1, 0.494347685342655, 1.49607532163383)) - (1 - 1 * fAct(TUP1, 0.478926570154727, 1.48534448833903)) * (1 * fAct(GAL11, 0.424795030523092, 1.49548751271097) * 1 * fAct(SNF2_SWI1, 0.494347685342655, 1.49607532163383)))) * 1 - 1 * ALPHA1) / 1"
"ALPHA2","((1 * fAct(GAL11, 0.417590837320313, 1.40025647648377)) * 1 - 1 * ALPHA2) / 1"
"ASH1","((1 * fAct(SWI5, 0.48925634115003, 1.42979728790699)) * 1 - 1 * ASH1) / 1"
"CAF16","input gene"
"CAF4","input gene"
"CAT8","input gene"
"CBF1","input gene"
"CCR4","(((1 - 1 * fAct(SPT6, 0.585301975859329, 1.4182059883629))) * 1 - 1 * CCR4) / 1"
"CDC36","input gene"
"CDC39","input gene"
"CDC50","input gene"
"CHA4","input gene"
"CIN5","input gene"
"CRZ1","input gene"
"CUP2","input gene"
"DAL80","((((1 * fAct(GLN3, 0.41631777798757, 1.72708278447855) * 1 * fAct(GAT1, 0.440072636771947, 1.5700099824788)) * (1 - 1 * fAct(DAL80_GZF3, 0.561402943590656, 1.61334311592625)))) * 1 - 1 * DAL80) / 1"
"DAL80_GZF3","(((1 * fAct(GLN3, 0.51902209110558, 1.51768847172847) * 1 * fAct(GAT1, 0.555033928714693, 1.55835481647635))) * 1 - 1 * DAL80_GZF3) / 1"
"DAL81","input gene"
"FKH2","input gene"
"FLO8","input gene"
"GAL11","input gene"
"GAL4","input gene"
"GAT1","(((1 * fAct(GLN3, 0.440405684150755, 1.45176706454018) * (1 - 1 * fAct(DAL80, 0.467257095128298, 1.73437306068139)))) * 1 - 1 * GAT1) / 1"
"GIS1","input gene"
"GLN3","input gene"
"HAL9","input gene"
"HAP1","input gene"
"HAP2","input gene"
"HAP4","((1 * fAct(SNF2_SWI1, 0.489769665477797, 1.58410778031219)) * 1 - 1 * HAP4) / 1"
"HDA1","input gene"
