reg, aff,prior_weight
YKL112W,YAL016W,1
YKL112W,YBR161W,1
YKL112W,YBR202W,1
YKL112W,YDL144C,1
YKL112W,YEL017W,1
YKL112W,YEL016C,1
YKL112W,YEL011W,1
YKL112W,YFR045W,1
YKL112W,YHR132C,1
YKL112W,YHR137W,1
YKL112W,YJL159W,1
YKL112W,YKL179C,1
YKL112W,YKL176C,1
YKL112W,YKL167C,1
YKL112W,YLL034C,1
YKL112W,YLR353W,1
YKL112W,YLR407W,1
YKL112W,YMR125W,1
YKL112W,YMR129W,1
YKL112W,YNL159C,1
YKL112W,YNL153C,1
YKL112W,YNL106C,1
YKL112W,YOL026C,1
YKL112W,YPL279C,1
YKL112W,YBL080C,1
YKL112W,YBR257W,1
YKL112W,YCL064C,1
YKL112W,YDL052C,1
YKL112W,YDL047W,1
YKL112W,YDL005C,1
YKL112W,YDR005C,1
YKL112W,YDR327W,1
YKL112W,YER056C-A,1
YKL112W,YGL196W,1
YKL112W,YGL190C,1
YKL112W,YGL150C,1
YKL112W,YHR185C,1
YKL112W,YJL111W,1
YKL112W,YJL110C,1
YKL112W,YKL129C,1
YKL112W,YKL078W,1
YKL112W,YLR116W,1
YKL112W,YNL015W,1
YKL112W,YNL005C,1
YKL112W,YOR063W,1
YKL112W,YOR099W,1
YKL112W,YPL179W,1
YKL112W,YPR203W,1
YKL112W,YAL061W,1
YKL112W,YAL014C,1
YKL112W,YAL011W,1
YKL112W,YDL145C,1
YKL112W,YDL097C,1
YKL112W,YDR234W,1
YKL112W,YDR280W,1
YKL112W,YER026C,1
YKL112W,YGR087C,1
YKL112W,YGR089W,1
YKL112W,YGR129W,1
YKL112W,YGR131W,1
YKL112W,YKL218C,1
YKL112W,YKL217W,1
YKL112W,YKL172W,1
YKL112W,YKL166C,1
YKL112W,YLR352W,1
YKL112W,YLR356W,1
YKL112W,YLR364W,1
YKL112W,YMR122C,1
YKL112W,YMR169C,1
YKL112W,YNL110C,1
YKL112W,YNL098C,1
YKL112W,YOL031C,1
YKL112W,YOL027C,1
YKL112W,YOR011W,1
YKL112W,YOR354C,1
YKL112W,YPL278C,1
YKL112W,YPR113W,1
YKL112W,YDL053C,1
YKL112W,YDL046W,1
YKL112W,YDR373W,1
YKL112W,YER063W,1
YKL112W,YGL195W,1
YKL112W,YGL194C,1
YKL112W,YGR167W,1
YKL112W,YHR179W,1
YKL112W,YHR180W,1
YKL112W,YJL053W,1
YKL112W,YKL133C,1
YKL112W,YKL124W,1
YKL112W,YKL122C,1
YKL112W,YKL076C,1
YKL112W,YLR060W,1
YKL112W,YLR450W,1
YKL112W,YML092C,1
YKL112W,YMR267W,1
YKL112W,YNL059C,1
YKL112W,YOR057W,1
YKL112W,YOR058C,1
YKL112W,YOR108W,1
YKL112W,YPL232W,1
YKL112W,YPL230W,1
YKL112W,YPR154W,1
YKL112W,YBL030C,1
YKL112W,YBR021W,1
YKL112W,YDR089W,1
YKL112W,YDR420W,1
YKL112W,YDR471W,1
YKL112W,YGL056C,1
YKL112W,YGR261C,1
YKL112W,YJR046W,1
YKL112W,YKL041W,1
YKL112W,YKL040C,1
YKL112W,YKL038W,1
YKL112W,YML001W,1
YKL112W,YMR302C,1
YKL112W,YMR308C,1
YKL112W,YMR310C,1
YKL112W,YNL310C,1
YKL112W,YNL307C,1
YKL112W,YNR038W,1
YKL112W,YOR155C,1
YKL112W,YOR195W,1
YKL112W,YBR064W,1
YKL112W,YBR110W,1
YKL112W,YDR138W,1
YKL112W,YDR188W,1
YKL112W,YEL055C,1
YKL112W,YFR004W,1
YKL112W,YGL011C,1
YKL112W,YGL009C,1
YKL112W,YHR005C-A,1
YKL112W,YIR023W,1
YKL112W,YKR102W,1
YKL112W,YLR260W,1
YKL112W,YLR264W,1
YKL112W,YLR317W,1
YKL112W,YMR079W,1
YKL112W,YNL213C,1
YKL112W,YOL116W,1
YKL112W,YOR304W,1
YKL112W,YBR022W,1
YKL112W,YDR087C,1
YKL112W,YDR092W,1
YKL112W,YDR422C,1
YKL112W,YDR431W,1
YKL112W,YGR258C,1
YKL112W,YIL117C,1
YKL112W,YIL107C,1
YKL112W,YJL008C,1
YKL112W,YKR008W,1
YKL112W,YKR013W,1
YKL112W,YKR014C,1
YKL112W,YMR309C,1
YKL112W,YMR312W,1
YKL112W,YNL313C,1
YKL112W,YOR151C,1
YKL112W,YOR153W,1
