"x","name"
"YAL004W","YAL004W"
"YAL037W","YAL037W"
"YAL040C","CLN3"
"YAL043C-A","None"
"YAR008W","SEN34"
"YAR010C","YAR010C"
"YAR018C","KIN3"
"YAR042W","SWH1"
"YBL001C","ECM15"
"YBL003C","HTA2"
"YBL023C","MCM2"
"YBL049W","MOH1"
"YBL101W-A","None"
"YBR010W","HHT1"
"YBR012W-B","YBR012W-B"
"YBR027C","YBR027C"
"YBR038W","CHS2"
"YBR040W","FIG1"
"YBR054W","YRO2"
"YBR069C","TAT1"
"YBR071W","YBR071W"
"YBR073W","RDH54"
"YBR074W","YBR074W"
"YBR083W","TEC1"
"YBR088C","POL30"
"YBR089W","YBR089W"
"YBR091C","TIM12"
"YBR092C","PHO3"
"YBR103W","SIF2"
"YBR139W","YBR139W"
"YBR158W","AMN1"
"YBR200W","BEM1"
"YBR201W","DER1"
"YBR202W","MCM7"
"YBR238C","YBR238C"
"YBR275C","RIF1"
"YBR284W","YBR284W"
"YBR294W","SUL1"
"YBR295W","PCA1"
"YBR296C","PHO89"
"YBR301W","PAU24"
"YCL023C","YCL023C"
"YCL025C","AGP1"
"YCL027W","FUS1"
"YCL030C","HIS4"
"YCL037C","SRO9"
"YCL061C","MRC1"
"YCL064C","CHA1"
"YCR024C-A","PMP1"
"YCR032W","BPH1"
"YCR065W","HCM1"
"YCR089W","FIG2"
"YCR098C","GIT1"
"YDL003W","MCD1"
"YDL011C","YDL011C"
"YDL018C","ERP3"
"YDL022W","GPD1"
"YDL023C","YDL023C"
"YDL037C","BSC1"
"YDL039C","PRM7"
"YDL048C","STP4"
"YDL055C","PSA1"
"YDL062W","YDL062W"
"YDL081C","RPP1A"
"YDL094C","YDL094C"
"YDL096C","OPI6"
"YDL101C","DUN1"
"YDL103C","QRI1"
"YDL118W","YDL118W"
"YDL127W","PCL2"
"YDL158C","YDL158C"
"YDL160C","DHH1"
"YDL162C","YDL162C"
"YDL163W","YDL163W"
"YDL164C","CDC9"
"YDL179W","PCL9"
"YDL181W","INH1"
"YDL197C","ASF2"
"YDL227C","HO"
"YDL232W","OST4"
"YDL234C","GYP7"
"YDL236W","PHO13"
"YDL241W","YDL241W"
"YDL243C","AAD4"
"YDR016C","DAD1"
"YDR029W","YDR029W"
"YDR033W","MRH1"
"YDR044W","HEM13"
"YDR055W","PST1"
"YDR077W","SED1"
"YDR085C","AFR1"
"YDR089W","VTC5"
"YDR097C","MSH6"
"YDR100W","TVP15"
"YDR112W","IRC2"
"YDR115W","MRX14"
"YDR150W","NUM1"
"YDR170W-A","YDR170W-A"
"YDR191W","HST4"
"YDR222W","YDR222W"
"YDR225W","HTA1"
"YDR230W","YDR230W"
"YDR251W","PAM1"
"YDR270W","CCC2"
"YDR277C","MTH1"
"YDR278C","YDR278C"
"YDR297W","SUR2"
"YDR303C","RSC3"
"YDR309C","GIC2"
"YDR319C","YDR319C"
"YDR342C","HXT7"
"YDR343C","HXT6"
"YDR345C","HXT3"
"YDR369C","XRS2"
"YDR400W","URH1"
"YDR433W","YDR433W"
"YDR450W","RPS18A"
"YDR458C","HEH2"
"YDR480W","DIG2"
"YDR503C","LPP1"
"YDR512C","EMI1"
"YDR518W","EUG1"
"YDR525W","API2"
"YDR525W-A","SNA2"
"YDR528W","HLR1"
"YEL017W","GTT3"
"YEL032W","MCM3"
"YEL047C","YEL047C"
"YEL053C","MAK10"
"YEL069C","HXT13"
"YEL076C-A","YEL076C-A"
"YER017C","AFG3"
"YER037W","PHM8"
"YER053C","PIC2"
"YER056C","FCY2"
"YER063W","THO1"
"YER067W","RGI1"
"YER070W","RNR1"
"YER081W","SER3"
"YER084W","YER084W"
"YER091C","MET6"
"YER095W","RAD51"
"YER106W","MAM1"
"YER117W","RPL23B"
"YER160C","YER160C"
"YER170W","ADK2"
"YER177W","BMH1"
"YER190W","YRF1-2"
"YFR015C","GSY1"
"YFR029W","PTR3"
"YFR030W","MET10"
"YFR032C-A","RPL29"
"YFR035C","YFR035C"
"YFR054C","YFR054C"
"YGL006W","PMC1"
"YGL021W","ALK1"
"YGL028C","SCW11"
"YGL032C","AGA2"
"YGL037C","PNC1"
"YGL038C","OCH1"
"YGL040C","HEM2"
"YGL041C","YGL041C"
"YGL089C","MF(ALPHA)2"
"YGL107C","RMD9"
"YGL113W","SLD3"
"YGL116W","CDC20"
"YGL118C","YGL118C"
"YGL157W","ARI1"
"YGL177W","YGL177W"
"YGL184C","STR3"
"YGL193C","YGL193C"
"YGL201C","MCM6"
"YGL204C","YGL204C"
"YGL255W","ZRT1"
"YGR014W","MSB2"
"YGR069W","YGR069W"
"YGR086C","PIL1"
"YGR092W","DBF2"
"YGR099W","TEL2"
"YGR108W","CLB1"
"YGR113W","DAM1"
"YGR115C","YGR115C"
"YGR140W","CBF2"
"YGR142W","BTN2"
"YGR143W","SKN1"
"YGR176W","YGR176W"
"YGR177C","ATF2"
"YGR189C","CRH1"
"YGR190C","YGR190C"
"YGR230W","BNS1"
"YGR265W","YGR265W"
"YGR279C","SCW4"
"YGR290W","YGR290W"
"YHL026C","YHL026C"
"YHL031C","GOS1"
"YHL040C","ARN1"
"YHR005C","GPA1"
"YHR021W-A","ECM12"
"YHR023W","MYO1"
"YHR059W","FYV4"
"YHR071W","PCL5"
"YHR086W","NAM8"
"YHR097C","YHR097C"
"YHR137W","ARO9"
"YHR143W","DSE2"
"YHR145C","YHR145C"
"YHR146W","CRP1"
