"from","to","weight","activation","EC50","n"
"A1_ALPHA2","FUS1",1,FALSE,0.481303938571364,1.69940654859645
"ABF1","ACS1",1,TRUE,0.479114663880318,1.76456832739292
"ABF1","ADH1",1,TRUE,0.473920736694708,1.72136310680537
"ABF1","CDC19",1,TRUE,0.409943134989589,1.65950200540014
"ABF1","COX6",1,TRUE,0.535319225070998,1.54003101728158
"ABF1","DED1",1,TRUE,0.41601727376692,1.77136044961168
"ABF1","PGK1",1,TRUE,0.569381471211091,1.76909898016602
"ABF1","POT1",1,TRUE,0.450518465880305,1.4192890018248
"ABF1","QCR8",1,TRUE,0.494294740073383,1.65359924983
"ABF1","RPL4A",1,TRUE,0.527919520251453,1.74121917377226
"ABF1","RPL4B",1,TRUE,0.559455198608339,1.5554567172844
"ABF1","SPR3",1,TRUE,0.454784223390743,1.57613905404462
"ABF1","TUB2",1,TRUE,0.423321725055575,1.76004409415182
"ACE2","CDC6",1,FALSE,0.488239526748657,1.7059503556462
"ACE2","CTS1",1,TRUE,0.447181946830824,1.50476422759704
"ACE2","EGT2",1,TRUE,0.540639611333609,1.76054661402479
"ACE2","HO",1,TRUE,0.579045879980549,1.73054310582113
"ACE2","RME1",1,TRUE,0.438344763126224,1.45232893262757
"ADR1","ACS1",1,TRUE,0.456089669466019,1.74535287364619
"ADR1","ADH1",1,TRUE,0.408582757413387,1.68746335506672
"ADR1","ADH2",1,TRUE,0.520614005532116,1.57898389130132
"ADR1","CTA1",1,TRUE,0.484743402106687,1.72340617412701
"ADR1","FOX2",1,TRUE,0.46346969185397,1.64731590358773
"ADR1","GUT1",1,TRUE,0.551679315045476,1.69291439754888
"ADR1","PEX1",1,TRUE,0.508324459893629,1.54787730506621
"ADR1","POT1",1,TRUE,0.403326206468046,1.50429576137103
"ALPHA1","MFALPHA1",1,TRUE,0.528874885011464,1.60221230200958
"ALPHA1","STE3",1,TRUE,0.587692407285795,1.40026789003517
"ALPHA2","STE6",1,FALSE,0.406355157634243,1.60428616223624
"ARO80","ARO10",1,TRUE,0.495742104854435,1.50086699967273
"ARO80","ARO9",1,TRUE,0.439125429093838,1.58065567163285
"ASH1","MUC1",1,TRUE,0.457999415881932,1.45573472126387
"BAS1","ADE12",1,TRUE,0.52344368561171,1.46826125157997
"BAS1","ADE3",1,TRUE,0.449869876122102,1.76289236942073
"BAS1","ADE4",1,TRUE,0.529064961057156,1.68522043838166
"BAS1","ADE6",1,TRUE,0.446795138949528,1.60706040125107
"BAS1","HIS6",1,TRUE,0.55658585508354,1.49601999641396
"CAF16","ADH1",1,FALSE,0.432782050035894,1.4941010239115
"CAF16","FKS1",1,TRUE,0.434043732704595,1.43834996286314
"CAF16","HO",1,TRUE,0.526598842907697,1.4258153341501
"CAF4","ADH1",1,FALSE,0.460079838661477,1.57861551872222
"CAF4","FKS1",1,TRUE,0.496908270195127,1.44532105779275
"CAF4","GAL1",1,FALSE,0.498623883491382,1.78827714071609
"CAF4","HO",1,TRUE,0.564648146601394,1.65859226823086
"CAT8","ACS1",1,TRUE,0.524884249409661,1.41042086120695
"CAT8","CAT5",1,TRUE,0.47423601266928,1.41006107091438
"CAT8","IDP2",1,FALSE,0.580027900869027,1.7583521593269
"CAT8","JEN1",1,FALSE,0.481703849462792,1.52164469685871
"CAT8","MDH2",1,TRUE,0.56314101354219,1.70334277655231
"CBF1","CYT1",1,TRUE,0.452121356409043,1.45039763750276
"CBF1","GAL2",1,TRUE,0.532212219852954,1.48455649403157
"CBF1","MET14",1,TRUE,0.471302817761898,1.51798349508317
"CBF1","MET16",1,TRUE,0.413508573127911,1.48306906685466
"CBF1","MET17",1,FALSE,0.472440280253068,1.71485950955888
"CBF1","MET28",1,FALSE,0.551778990635648,1.72604503097013
"CBF1","MET8",1,TRUE,0.522840769216418,1.69874027500395
"CBF1","QCR8",1,FALSE,0.491757767181843,1.56547620022204
"CBF1","SAM2",1,TRUE,0.553208724455908,1.50497091460973
"CBF1","TRP1",1,TRUE,0.406375499116257,1.40430418538628
"CCR4","ADH1",1,FALSE,0.49638514793478,1.54426874826429
"CCR4","ADH2",1,TRUE,0.559193774033338,1.43416204234352
"CDC36","FUS1",1,FALSE,0.566916309390217,1.65713404454058
"CDC39","CYC1",1,FALSE,0.401526090223342,1.48287988645025
"CDC39","FUS1",1,FALSE,0.474481903901324,1.41989882815396
"CDC50","CYC1",1,FALSE,0.574547728942707,1.40670566970482
"CHA4","CHA1",1,TRUE,0.513934369431809,1.57683335714974
"CIN5","ENA1",1,TRUE,0.419255203660578,1.62174203369766
"CRZ1","ENA1",1,TRUE,0.492723449179903,1.39183033383684
"CRZ1","GSC2",1,TRUE,0.442256909282878,1.60433204736095
"CRZ1","PMC1",1,TRUE,0.413326836982742,1.62886553475866
"CUP2","CUP1A",1,TRUE,0.510129594942555,1.69576593451435
"CUP2","CUP1B",1,TRUE,0.444875370943919,1.39880516833859
"CUP2","RS5",1,TRUE,0.575036330195144,1.51412831448251
"CUP2","SOD1",1,TRUE,0.584643577737734,1.72580436476972
"CUP9","FET3",1,TRUE,0.557896106131375,1.7130819837423
"CUP9","PTR2",1,FALSE,0.503650175128132,1.57031824067701
"DAL80","CAN1",1,FALSE,0.54259930094704,1.74025338712381
"DAL80","DAL1",1,FALSE,0.417016711458564,1.4679028596892
"DAL80","DAL2",1,FALSE,0.486071325093508,1.47978326116921
"DAL80","DAL3",1,FALSE,0.466279037808999,1.71984544707695
"DAL80","DAL4",1,FALSE,0.583578975684941,1.79972369846655
"DAL80","DAL5",1,FALSE,0.461631893366575,1.75459282122785
"DAL80","DAL7",1,FALSE,0.578659563884139,1.52446031392319
"DAL80","DCG1",1,FALSE,0.579106304608285,1.76555105810054
"DAL80","DUR1",1,FALSE,0.595894119655713,1.63772830428788
"DAL80","DUR3",1,FALSE,0.432549858326092,1.70752883072244
"DAL80","GAT1",1,FALSE,0.481424162024632,1.72509076278424
"DAL80","GDH1",1,FALSE,0.556981728831306,1.64092434544582
"DAL80","PUT1",1,FALSE,0.502989233331755,1.49904536172049
"DAL80","PUT2",1,FALSE,0.583086103852838,1.45186739235185
"DAL80","PUT4",1,FALSE,0.527275924757123,1.73371538130799
"DAL80","UGA1",1,FALSE,0.446749598626047,1.63173854920547
"DAL80","UGA2",1,FALSE,0.471386362519115,1.48209086078685
"DAL80_GZF3","DAL80",1,FALSE,0.481977455597371,1.50379533179803
"DAL80_GZF3","GAP1",1,FALSE,0.563781731761992,1.58180026107235
"DAL80_GZF3","UGA4",1,FALSE,0.482018467132002,1.67756430546287
"DAL81","UGA2",1,TRUE,0.513395478064194,1.49319210054353
"DAL81","UGA4",1,TRUE,0.543908408004791,1.64413525850046
"FKH2","CLB2",1,FALSE,0.544834472611546,1.56534719433868
"FLO8","MUC1",1,TRUE,0.530404142150655,1.60222815380897
"FLO8","STA1",1,TRUE,0.423007656913251,1.75116043431917
"FLO8","STA2",1,TRUE,0.589216647809371,1.7042170099332
"FZF1","SSU1",1,TRUE,0.4319789737463,1.61230340433074
"GAL11","A1_ALPHA2",1,TRUE,0.521514644287527,1.41017003609333
"GAL11","ALPHA1",1,TRUE,0.581646567722782,1.47118461822858
"GAL11","ALPHA2",1,TRUE,0.536564389197156,1.47546245400794
"GAL11","GAL1",1,TRUE,0.466731324698776,1.79558632842032
"GAL11","GAL10",1,TRUE,0.520608416479081,1.61717942731455
"GAL11","GAL2",1,TRUE,0.471541882818565,1.42639576998539
"GAL11","GAL7",1,TRUE,0.408730583731085,1.70367053467082
"GAL11","MFALPHA1",1,TRUE,0.544789115013555,1.75611413165461
"GAL4","FUR4",1,TRUE,0.576882151700556,1.75585885846056
"GAL4","GAL1",1,TRUE,0.482203206326813,1.79921065397095
"GAL4","GAL10",1,TRUE,0.403306038724259,1.78553853254765
"GAL4","GAL2",1,TRUE,0.403795544803143,1.78700360553339
"GAL4","GAL3",1,TRUE,0.400029473239556,1.6939134165016
"GAL4","GAL7",1,TRUE,0.574224577238783,1.49814097015187
"GAL4","GAL80",1,TRUE,0.445741165941581,1.70401631230721
"GAL4","GCY1",1,TRUE,0.447867572493851,1.51696431419114
"GAL4","LAP3",1,TRUE,0.479153641173616,1.56651881763712
"GAL4","MEL1",1,TRUE,0.40839410549961,1.7830112498207
"GAL4","MTH1",1,TRUE,0.511672606971115,1.64674599800725
"GAL4","PCL10",1,TRUE,0.44494874025695,1.53958492777543
"GAL4","PGM2",1,TRUE,0.577043134300038,1.50779140741797
"GAT1","DAL80",1,TRUE,0.452398988651112,1.77983969000168
"GAT1","DAL80_GZF3",1,TRUE,0.543852677429095,1.72083247475093
"GAT1","GAP1",1,TRUE,0.518216706626117,1.53624567209743
"GAT1","GLN1",1,TRUE,0.528545166645199,1.39377834840212
"GCN4","ADE1",1,TRUE,0.59066266794689,1.46326798183145
"GCN4","ADE2",1,TRUE,0.530813378328457,1.51594000907149
"GCN4","ADE4",1,TRUE,0.59910372979939,1.46941594399279
"GCN4","ADE5",1,TRUE,0.505875319102779,1.67334694051417
"GCN4","ADE8",1,TRUE,0.433217031648383,1.41439022180624
"GCN4","ARG1",1,TRUE,0.464766038022935,1.54718353081262
"GCN4","ARG2",1,TRUE,0.455899179494008,1.41920323995873
